question,answer
қыпшақ тіліндегі яланкуг ,құл 
қыпшақ тілінің фольклор үлгілері сақталған , кодекс куманикус 
қыпшақ халқының қалыптасуының соңғы кезеңі ,моңғол шапқыншылығы қарсаңында 
қыпшақ халқының қалыптасуының соңғы кезеңі үзілді ,моңғол шапқыншылығының нәтижесінде
қыпшақ хандары сайланды ,елбөрілі тайпасынан
қыпшақ хандығы өмір сүрген кезең ,xі ғ аяғы мен xііі ғ басы 
қыпшақ хандығы өмір сүрген ғасырлар ,хі хiii ғғ басы 
қыпшақ хандығымен тығыз туыстық және саяси байланыстар орнатудағы хорезмшахтардың ұстанған басты мақсаттары ,қыпшақ тайпаларын ислам дініне тарту
қыпшақ хандығында хандық биліктің орталығы болған калалар ,сарайшық сығанақ
қыпшақ хандығындағы ақсүйек шонжарлардың аталуы ,тархандар басқақтар бектер
қыпшақ хандығындағы оң қанат ордасы орналасқан жер ,сарайшық қаласының орнына 
қыпшақ хандығының оң қанатының орталығы ,сарайшық 
қыпшақ хандығының сол қанатының орталығы ,сығанақ 
қыпшақ этникалық құрамы тұрды ,2 бқліктен
қыпшақ этникалық құрамы калыптаса бастаған ғасырлар ,vіі vii ғғ 
қыпшақгар құрамындағы дурут тайпасының аты ,төрт тайпа дегенді білдіреді 
қыпшақгардың оң қанатындағы орталығы орналасқан өзен ,жайық
қыпшақтар яланкут деп атады ,кұлды 
қыпшақтар xі ғасырда жеңген сырдың төменгі ағысы арал бойын мекендеген тайпа ,оғыз 
қыпшақтар барып қоныстанған еуропалық өзен бойы ,дунай
қыпшақтар бөлінген аймақ ,оң және сол қанат 
қыпшақтар даласы атанған аймақ ,алтайдан еділге дейін 
қыпшақтар жаз айларында көшіп қонып жүрген өзен аңғарлары ,жайык қобда ойыл 
қыпшақтар құрамындағы йетиоба тайпасының аты ,жеті тайпа дегенді білдіреді
қыпшақтар құрамындағы тоқсоба тайпасының аты білдіреді , тоғыз тайпалы деген ұғымды 
қыпшақтар мен қияттардың қызылбастар мен қалмақтарға қарсы соғысын суреттейтін жыр , қобыланды жыры 
қыпшақтар мен хорезм мемлекетінің сыр бойындағы қалалар үшін қақтығысы тоқтатылды ,моңғолдардың жаулап алуымен 
қыпшақтар оғыздарды сырдарияарал бойынан біржола ығыстырды ,xі ғ 
қыпшақтар орыс деректерінде аталды ,половшылар
қыпшақтар тары мен күріш өсірген деп жазған ,петахья 
қыпшақтар қимақтар оғыздардың орналасуы жөнінде жолдар мен аймақтар туралы еңбегінде мағлұматтар келтірген араб географы ,хордадбек 
қыпшақтарда әскери басқару жуйесі қалай бөлінді ,оң қанат сол қанат 
қыпшақтарда байлықтың өлшемі ,жылқы саны 
қыпшақтарда ең беделді тайпа ,бөрілер 
қыпшақтарда оң қанаттың ордасы ,сарайшык жайық бойында 
қыпшақтарда сол қанаттың ордасы ,сығанақ сырдария бойында 
қыпшақтарда тамақтарының негізгі түрі тарыдан жасалады деп айтты ,14 ғасыр эл омари
қыпшақтарда тары мен күрішгі көп өсіреді деп жазған еврей саяхатшысы ,петахья 
қыпшақтарда хандар әулетінің тайпасы елбөрілер екенін айтқан тарихшы ,жүзжани 
қыпшақтарда хандық биліктің орталығы аталды ,орда
қыпшақтарды венгрлер атады ,кундар немесе командар 
қыпшақтарды орыс жылнамаларында қалай атаған ,половецтер 
қыпшақтардың айран деп аталатын сусыны туралы жазған ғұлама ,в рубрук
қыпшақтардың арба үстіне тігілген үйлерін сипаттаған саяхатшылар ,карпини рубрук 
қыпшақтардың астанасы болған қалалар ,сарайшық сығанақ
қыпшақтардың әскери басқару жүйесі бөлінді ,оң және сол қанат
қыпшақтардың батыс бірлестігіне кіретін тайпалары ,дурут токсоба йетиоба 
қыпшақтардың батыс бірлестігінің құрамындағы тайпалар саны ,11 тайпа 
қыпшақтардың билеуші лауазымы ,хан 
қыпшақтардың көші қонысы ,есіл мен тобыл нұра елек пен сарысу өңірі 
қыпшақтардың күшеюінен қауіптеніп өзіне теуелді етуге ұмтылған мемлекет ,хорезм 
қыпшақтардың оң қанатының ордасы ,сарайшык
қыпшақтардың оң қанатының орталығы орналасқан өзен бойы ,жайық
қыпшақтардың оңтүстігіндегі шекарасы ,балқаш көлі мен жоңғар алатауы 
қыпшақтардың сиыр малын өсіргендігі туралы айтқан саяхатшы ,ибн хаукаль
қыпшақтардың сол қанатының ордасы ,сығанақ
қыпшақтардың сол қанатының орталығы орналаскан өзен ,сырдария
қыпшақтардың солтүстігіндегі шекарасы ,құланды даласы
қыпшақтардың сыртқы саудасында жоғары бағаланды ,жылқы
қыпшақтардың хорезм шахтармен ұзақ бәсекесін тоқтатқан басты себеп не ,қазақстан 
қыпшақтардың шығыс бірлестігінің құрамындағы тайпалар саны ,16 тайпа 
қыпшақтардың этникалық құрамы қалыптаса бастады ,vіі vііі ғасырлар
қыпшақтардың этникалық құрамы неше бөліктен тұрды ,екі
қыпшақтардың этникалық құрамындағы 11 тайпадан тұратын бөлігі ,батыс
қыпшақтардың этникалық құрамындағы 16 тайпадан тұратын бөлігі ,шығыс қыпшақ 
қырғыз қазақ тілінде іс жүргізуді енгізу туралы декрет ,1923 жылы
 қырғыз қазақ халқының 1000 әні және қазақ халқының 500 әні мен күйі жинақтарының авторы ,а затаевич
қырғыз қазақ халқының 1000 әні жинғының авторы ,а затаевич 
қырғыз акср і қазақ акср і болып өзгертілген мерзім ,1925 жылы
қырғыз өлкесітүркістан өлкесі еңбектерінің авторы ,семенов тянь шаньский
қырғыз өлкесін басқару жөніндегі ревкомның міндетінің бірі ,қазақ автономиясын құруға дайындық
қырғыз халкының тарихи дұрыс атауын қалпына келтіру үшін алдағы уақыттарда қырғыз қазақтар деп аталсын деген қаулы қабылданды ,1925 жылы
қырғыздарды бұратаналардың тізімін шығармауға шақырғандар ,долматов пен федотов
қырғыздардың жер иеленуі бойынша мәліметтерді жинауға белсене қатысқан ,ә бөкейханов 
қырғыздың манас жырын зерттеген ,ш уәлиханов 
қырғыз қазақ немесе қырғыз қайсақ далаларының сипаттамасы еңбегін жазған орыс зерттеушісі ,а и левшин 
қырғыз қайсақ қарақшыларын жем өзені бойына дейін қуып тастауды тапсырған әскери коллегияның президенті ,г а потемкин 
қырғыш қай кезеңде қарудың негізгісі болып есептелді ,орта палеолитте 
қырық жылдан астам қазақстан өкіметінің республика партия ұйымының басшылыында болған ,д қонаев
қырық мың қырғыз отбасының ресей империясы құрамына өтуді тездеткен себеп ,орыс отрядтарының қызылағаш өзенінің аңғарына келуі 
қысқы жайылымды мұз басып малдың жаппай қырылуы ,жұт
қыста көшіп қонған қазақ ауылдары үшін ең қауіптісі ,жұт
қытай адамы атауы берілген ежелгі адам ,синантроп
қытай ақыны бәй жушінің қаңлы қыздарына арналған өлеңі ,биші бикеш 
қытай археологтары жібек жасын жатқызады ,б з б 3 мыңжыл 
қытай археологтары жібек матасының жасын қай мыңжылдықтарға жатқызады ,б з б 3 мың ж 
қытай әскерінің алтай тарбағатай өңіріне қауіп төндірген жорығы басталды ,1757 ж жазда
қытай билеушілері түрік қағанатына жібек матамен салық төлеп тұрды ,мұқан қаған кезінде
қытай деректері бойынша авар жужан қағаны үшін темір өндіргендер ,түріктер
қытай деректері бойынша ғұн билеушісі мөдеге келген елшілер ,дунху
қытай деректері бойынша ежелгі қаңлы жауынгерлерінің саны ,120 мың
қытай деректері бойынша ежелгі қаңлылар саны ,600 мың
қытай деректері бойынша ежелгі үйсіндер саны ,630 мың
қытай деректерінде ғұн атауының пайда болған кезі ,б з б 3 ғ аяғы
қытай деректерінде гуньмо сөзінің мағынасы ,үйсін басшысы
қытай деректерінде үйсіндердің әскер саны ,188 800 
қытай деректеріндегі гуньмо сөзінің мағынасы ,үйсін басшысы
қытай деректеріндегі ән күйі би енері жақсы дамыған ежелгі тайпа ,қаңлы
қытай деректеріндегі ғұн басшысының лауазымы , шаньюи 
қытай деректеріндегі қаңлы жауынгерлерінің саны ,120 мыңға дейін
қытай деректеріндегі үзіндіде келтірілген көшпелі мемлекетті анықтаңыз олардың елшісі қолындағы шаньюдің сенім таңбаларымен көрші елдерге барды ол елдер бір мемлекеттен екінш мемлекетке шығарып салып азық түлікпен камтамасыз етіп тұрды жауабы ,ғұн
қытай елінен алғаш рет жібек артқан керуендер батысқа қарай жолға шыққан ғасыр ,б з б і ғасырдың ортасы
қытай елінен батыс елдеріне жібек таси бастаған уақыт ,б з б і ғ ортасы 
қытай жазба деректеріндегі б з б іі і ғ да қытай өкіметімен қарым қатынаста болған ел ,үйсін мемлекеті 
қытай жерінен табылған адам атауы ,синантроп
қытай жолаушылары ақ өзен бойындағы қала деп атаған ,испиджаб
қытай жылнамаларындағы испиджаб қаласы махмұд қашғари жазбасында аталады ,сайрам 
қытай императоры жібектен жасалған әшекейлі киімдерді сыйлық ретінде жіберді ,иран шахына
қытай императоры у ди батыс елдеріне қарай елшілік аттандырған жылы ,б з 138 жыл
қытай императоры у дидің 138 ж жібек жолы арқылы батыс елдеріне жіберген елшілігі қайтып оралды ,13 жылдан кейін
қытай императорының атынан жібектен жасалған әшекейлі киім жіберілген мемлекет билеушісі ,иран шахы
қытай қолбасшылары фу дэчжао хой бастаған әскердің қазақстанға басып кірген жылы ,1757 ж
қытай мемлекеті мен жібек өндіруде қай ел бәсекеге түскен ,соғды елі
қытай өкілінің императорға хабарында сипаттаған ,қаңлылар өркөкірек өжет келеді
қытай саяхатшысы сюань цзянь деректері бойынша соғды халқының негізгі кәсібі ,сауда мен егіншілік
қытай тарихшысы сыма цяньның көшпелілер өмірі туралы еңбегі , тарих жазбалары 
қытай теңгелері табылған отырар алқабындағы қаңлы қорымы ,мардан
қытай халық республикасынан хх ғ 60 шы жылдары қазақстанға оралған отандастар саны шамамен ,200 000 адам
қытай хроникасында қаңлыларда екі астана ,жазғы және қысқы
қытайда өндіру тәсілін құпия сақтаған тауар ,жібек
қытайдан алғаш жібек артқан керуендер батысқа қарай жолға шықты ,б з б і ғ ортасында
қытайдың жазба деректерінде қаңлылар халқының саны ,600 мың адам
қытайдың форфордан жасалған ыдысы табылған қала ,талғар
қытайлар жылына 100 мың тең жібек матасын төлеп тұрған түрік қағаны ,мұқан
қытайлар қазақ шекарасына осы ханның тұсында басып кірді ,абылайдың
қытайлармен шайқаста жеңіліс тапқан орта жүз ханы абылайдан көмек сұраған жоңғар тағының мұрагерлікке таласқан кім ,әмірсана 
қытайлармен шайқаста жеңіліс тауып абылайдан көмек сұраған жоңғар тағына таласушылардың бірі ,әмірсана 
қытаймемлекетінің әскерлері жетісуға басып кірді ,659 ж 
қыш күйдіретін пеш қол диірмен тастары тары қалдықтары табылған сақ қаласы ,бәбіш молда
қыш құмыра жасайтын шеберханалары болған ортағасырлық қалалар ,талғар тараз
қыш құмыралар жасайтын шеберханалары болған ортағасырлық қалалар ,раң күлтөбе 
қыш құмыралар заманы деп аталатын дәуір ,неолит
қыш құмыралар заманы деп аталған тас ғасырының дәуірі ,неолит
қыш ыдыстарға салған өнердегі стиль ,геометриялық
қышпақтар әскери басқару жүйесі бойынша бөлінді ,оң қанат және сол қанат
қьшшақтар жайлы дерек қалдырғандар қатарына жатпайды ,жүсіп баласағұн
л и брежнев кеңес халқының өткен тарихы даму жолының басты қорытындысы кемелденген социалистік қоғам орнату болып табылады дегенді жариялаған жыл ,1967 ж 
лаңкестік жаппай сипат алды ,1937 1938 жылдары 
лаңкестіктің құрбаны болғанкөрнекті тілтанушы ғалым профессор ,қ жұбанов 
лаңкестіктің құрбаны болған ксро ғылым академиясы қазақ филиалы басшыларының бірі ,м төлепов
лаңкестіктің құрбаны болған қазақ тіл білімінің ғылыми маркстік негізін салушы ,а байтұрсынов
лаңкестіктің құрбаны болған қазақтың тарихи білімінің негізін салушы ,с асфендияров 
лаубай мантайұлы мен аббас қошайұлы бастаған көтеріліс болды ,1842 жылы 
лебедевтің жазаға тартылу себебі , кенесарымен күресте дәрменсіздік көрсеткені үшін 
лейпциг веймар глогау қалаларына шабуыл жасауға қатысқан ,жанжігітұлы байбатырұлы 
лейпциг глогау түбінде болған шайқастарда күміс медальмен марапатталды ,байбатырұлы 
ленинград қаласын қорғауда қатысқан балтық флотының қызыл тулы киров крейсеріндегі қазақстандық жауынгерлердің саны ,156 
ленинград үшін шайқаста ерлікпен қаза тапқан қазақ батыры ,с баймағамбетов
ленинград үшін шайқаста жаудың қорғаныс ұясының аузын кеудесімен жауып қаза тапқан ,с баймағамбетов 
ленинград үшін шайқаста кеудесін оққа төсеген қазақстандық батыр ,с баймағанбетов 
ленинград үшін шайқаста матросовтың өшпес ерлігін қайталаған ,с баймағанбетов 
ленинградтықтарға ленинградтық өренім жырын арнаған ,ж жабаев 
лениногор мырыш зауыты өскемеңдегі титан магний комбинаты салынған жыл ,60 жж ішінде 
ленфильм қазақтың бірінші дыбысты фильмі амангелді кинокартинасын жасап шығарды ,1938ж 
ленфильм киностудиясы түсірген тұңғыш қазақ көркем фильмі ,амангелді
ленфильм қазақтың бірінші дыбысты фильмі амангелді кинокартинасын жасап шығарды ,1938ж
лепсі алқабын қоршаған таулар атты картинасымен қазақ жерінің сұлулығын көрсеткен кім ,верещагин
лепсі өлкесін қоршаған таулар атты картинаның авторы ,в верещагин
либерал демократтар ,бөкейханов байтұрсынов дулатов 
лирикалық эпостық жырлар , қозы көрпеш баян сұлу айман шолпан қыз жібек күлше қыз мақпалқыз 
лиро эпостық жыр , айман шолпан 
лиро эпостық жыр , қозы көрпеш баян сұлу лиро эпостық жыр қыз жібек 
м әуезов абай романының екі кітабын жазып бітірді ,1947 ж 
м әуезовке лениндік сыйлық берілді ,1959 ж 
м әуезовтың 100 жылдық мерейтойы дүниежүзілік деңгейде атап өтілді ,1997 ж 
м ғабдуллин т тоқтаров кеңес одағының батыры атағын алды ,мәскеу үшін шайқаста 
м дулатов ш құдайбердиев ж аймауытов ақталды ,1988 ж 
м дулатовтың 1915 ж шыққан туындысы , терме 
м дулатұлының 1909ж орынборда 1911ж уфада жарық көрген еңбегі , оян қазақ 
м дулатұлының 1915 жылы жарық көрген туындысы , терме 
м жұмабаевтың жоңғар шапқыншылығы кезіндегі тарихи оқиғаны суреттейтін дастан , батыр баян 
м жұмабаевтың эпостық дастандары , батыр баян ертегі қойлыбайдың қобызы жүсіпхан 
м қашғари түрік тілдерінің сөздігі еңбегін жазды ,xі ғасырда
м қашғари қалдырған үш кітаптан тұратын мәңгі өшпес мұра , түрік тілдерінің сөздігі 
м қашқари дерегінде қыпшақтардағы құл атауы ,ялангук 
м қашқаридің мәліметі бойынша оғыздардағы тайпалар саны ,24
м қашқаридің түркі тілдес халықтардың тұрмыс тіршілігі әдет ғұрпы және тілі туралы жазған шығармасы , түркі тілдерінің сөздігі 
м лермонтовтың а пушкиннің шығармаларын және интернационалды қазақ тіліне аударған ,аймауытов
м мағауиннің философиялық толғауы ,мен
м өтемісұлы жақсы таныс болған орыс жазушысы әрі этнографы ,в и даль
м өтемісұлы жақын болды ,в дальмен 
м өтемісұлы өлтірілді ,1846 ж 
м сәрсекеевтің кітабы , қазақтың қанышы сәтбаев әлемі 
м черняев әскері қай жылы шымкентті алды ,1864 ж 
м шахановтың баяндамасы бойынша 1986 ж желтоқсан оқиғаларына қатысқаны үшін өлім жазасына кесілгендер саны ,2 адам
м шахановтың еңбегі , өркениеттің адасуы 
м әуезов абай романының екі кітабын жазып бітірді ,1947 жылы
м әуезов 1947 ж абай романын жазып бітіргені үшін қандай сыйлыққа ие болды ,ксро мемлекеттік сыйлығына
м әуезов ксро ксро мемлекеттік сыйлығын алған шығармасы ,абай
м әуезовтың ксро мемлекеттік сыйлығын алған шығармасы , абай 
м дулатұлының 1915 жылы жарық көрген туындысы , терме 
м жұмабаевтың жоңғар шапқыншылығы кезіндегі тарихи оқиғаны суреттейтін дастан ,батыр баян
м жұмабаевтьщ эпостық құлашпен жазылған жоңғар шапқыншылығы кезіндегі тарихи оқиганы суреттейтін дастаны , батыр баян 
м қашғаридің өмір сүрген жылдары ,1030 1090 жж
м қашқариды түрік тілдерін салыстыра зерттеушілерінің көшбасшысы деп пікір айтқан ғалым ,н а баскаков
м м герасимов қалпына келтірген мүсіндік бейне ,үйсіндердікі
м мағауиннің философиялық толғауы ,мен 
м мәметова алматыдағы қандай жоғарғы оқу орнының студенті болды ,қазақ мемлекеттік медицина институтының 
м мәметова ерлік жасаған қала ,невель қаласы 
м мәметова қай қала үшін шайқаста ұмытылмас ерлігін жасады ,невель 
м мәметова құрамында шайқасқан атқыштар бригадасы ,100 ші
м өтемісұлы жақсы таныс болған орыс жазушысы әрі этнографы ,в и даль 
м с горбачев кокп басшылығына келген жыл ,1985 ж 
м с горбачев кокп ок ң бас хатшысы болған жыл ,1985 ж 
м х дулатидің 1541 1546 жж кашмирде парсы тілінде жазған кітабы , тарих и рашиди 
м х дулатидің жазуы бойынша қазақ хандығының құрылған мерзімі ,1465 1466 жж 
м хайдардың жазуынша моғолстанда тоғылық темір тұсында бір күнде ислам дінін қабылдаған адам саны ,160 мың
м черняев әскері қай жылы шымкентті алды ,1864 ж
м шахановтың баяндамасы бойынша 1986 ж желтоқсан оқиғаларына қатысқаны үшін өлім жазасына кесілгендер саны ,2 адам 
мазмұны терең философиялық ойлы шығармалардың қара сөздердің авторы ,а құнанбаев
майдақоңыр әнінің авторы ,естай
майдан үшін нан мен киім кешек жинауды іске асырған 1920 жылғы бұқаралық шара , майдан апталығы 
майданға жақын өңірлерден өнеркәсіп орындарын елдің шығыс аудандарын өшіру жүзеге асырылыпқазақстанға орналастырылғаи зауыт пен фабрика цехтар мен артельдер саны ,220
 майданға жіберетін ешкім жок ағамда апам да жоқсондықтанменің өзімді жіберуді өтінем деген хат жолының иесі ,м маметова 
майданда жүріп жалынды жырлар жазған ,саин аманжолов
майданнан қара жұмысқа алынған адамдарды қайтарған жыл ,1917 жыл 
македон әскеріне 3 жыл бойы партизан соғысын жүргізген сақ қолбасшысы ,спитамен 
македонскийдің сақтарға шабуыл жасағаны туралы жазған ,арриан
мал бағудың көшпелі түріне көшу қалыптаса бастаған дәуір ,қола
мал мен заттарды ұрлау тәуке ханның зандарында ауыр қылмыс болып табылды қылмыскерді қалай жазалады ,дүре соқты
мал мүлік теңсіздігі негізінде жеке меншік қалыптасқан дәуір ,қола дәуірі
мал өсірушілерден жиналатын салық ,құшыр 
мал шаруашылығын дамыту жоспары қабылданды ,1949 ж 
мал шаруашылығының жартылай көшпелі түрі тұрақты баспананы қажет етіп олар салды ,қысқы тұрақты 
малды алысқа ұзатып жаятын жайылым ,жайлау
малды қолға үйрете бастау қалыптасқан кезең ,мезолит 
малды қыста жаюға байланысты қалыптасқан жайылым ,тебінді 
малды тұрақты түрде қолға үйреткен кезең ,неолит
малдың жайын жақсы білетін маман жамбыл облысы айдарлы кеңшарының шопаны ,қуанышбаев 
малдың қар астынан тамақ табу тәсілі ,тебіндеу 
малшылар шығыс батыс оңтүстік солтүстікті қалай ажыратқан ,күнге қарау арқылы
малы жоқ көшіп қонуға көлігі жоқ егіншілікпен айналысатын кедей ,жатақ
малік ғабдуллин кеңес одағының батыр атағын алды ,мәскеу үшін шайқаста 
мамай мен дмитрий донской әскері арасында 1380 ж болған шайқас ,куликово 
мамайдан кейін алтын ордадағы билікті басып алып 1382 жылы москваға жорық жасаған жошының ұрпағы ,тоқтамыс 
мамайдың куликово даласындағы жеңілісін пайдаланып алтын ордадағы билікті тартып алған ,тоқтамыс хан 
мамайдың куликово шайқасында жеңілуі қашан болды ,1380 ж 
мамаш ханның билік еткен кезеңі ,1518 1523
мамонт мүйізтұмсық сияқты ірі аңдар жойылып кеткен дәуір ,мезолит
мамонттар және мүйізтұмсықтар өліп біткен кезең ,мезолит 
мандикар деген не ,қоғамдық жұмыс 
маңғыстау көтерілісінің ерекшелігі ,жалдамалы жұмысшылардың қатысуы 
маңғыстау мен үстіртте қыстап жазда жем сағыз ойыл қобда жайықты жайлаған ,қыпшақ тайпалары 
маңғыстау облысындағы жаңаөзен қаласында тұратын кавказ ұлттары мен жергілікті халық арасындағы соқтығыс орын алған жыл ,1989 жылы
маңғыстау приставтығы 1867 1868 жж реформа бойынша енгізілді ,закаспий облысына
маңғыстау түбегіндегі өзеннен алғашқы мұнай алынды ,1965 ж 
маңғыстау түбегіне жер аударылған азаттық қозғалыс өкілі ,т шевченко
маңғыстау ойыл жылқосын табын аудандарының шаруалары көшіп кетті ,иранауғанстанға
маңғыстаудағы 1870 жылғы көтеріліс жеңілгеннен кейін көтерілісшілердің бір бөлігі өтіп кетті ,хиуа хандығына
маңғыстаудағы көтерілісті басу үшін әскери құрама әкелінді ,кавказдан 
маңғыстаудауғы ұлт азаттық көтеріліс болды ,1870 ж 
маңғыт елі шыгарған эпос ,едіге
маңғыт елінің едігеге арнап шығарған эпосы , едіге жыры 
маңмаңкер сырымбет балқадиша әндерінің авторы ,ақан сері 1843 1913 
маңызды әлеуметтік экономикалық өзгерістер болды ,1995 1998 ж ж 
маңызды сауда орталығы болған көпестер қаласы атанған қала ,тараз
мардикар деген не ,қоғамдық жұмыс
мариновка селосы партизан қозғалысының қай кезеңде ірі орталығы болды ,азамат соғысы кезінде
марцеллин 31 кітаптан тұратын іс қимылдар шығармасында кімдер туралы жазады ,ғұндар 
маслов экипажының құрасында болған халық каһарманы атағын қазақстандық ұшқыш ,б бейсекбаев
массагеттер туралы дерек қалдырған ,геродот 
масуд ибн усман кухистанидың xvі ғасырдың 40 жылдары жазған тарихи шығармасы , тариx и абулхайр хани 
масуд ибн усман кухистанидың тарих и абулхайр хани еңбегінде баяндалады ,көшпелі өзбектер ханы әбілқайыр жайлы
масуд ибн усман кухистанидің шығармасының атауы , тарих и абулхаир хани 
мауараннахр мен кавказ елдеріне бірнеше жорық жасаған алтын орда билеушісі ,тоқтамыс
мауараннахр мен кавказ елдеріне жорық жасаған алтын орда ханы ,тоқтамыс 
мауереннахр бұл ,амудария мен сырдарияның аралығы
маусымды жайылымның көктемгі қонысы ,көктеу 
маусымдық жайылым неше кезенге болінеді ,4 
маусымдық жайылымның қысқы қонысы ,қыстау 
махамбет өтемісұлы қанша уақыт жәңгірханның ұлының ұстазы мен тәрбиешісі болды ,5 жыл 
махамбет өтемісұлы өз өлеңдерінде жырлады ,хан сұлтандардың озбырлығын
махамбет өтемісұлы өмір сүрген жылдар ,1804 1846 жылдары
махамбет өтемісұлы шығармаларында жырлаған көтеріліс өткен уақыт ,1836 1838 жылдар
махамбет өтемісұлы шығармаларында жырлаған көтеріліс болды ,1836 1838 жылдары өтті 
махамбет өтемісұлы жәңгірханның ұлының ұстазы мен тәрбиешісі болды ,5 жыл 
махамбет пен исатай бастаған шаруалар көтерілісі болған уақыт ,xіx ғасырдың і ші жартысында
махамбет пен исатай бастаған шаруалар көтерілісі болды ,1836 1838 жж бөкей ордасында
махамбетті жәңгір хан ұлы зұлқарнайынмен қосып оқуға жіберді ,орынборға 1824 1829 
махамбеттің бөкей ордасы билеушілеріне ашық білдірген өлеңі ,баймағамбет сұлтанға арналған өлеңі
махамбеттің түрмеде отырған жылы ,1829 ж
махмуд қашғари өзінің бұл атақты еңбегін жазуда түрік тілдерін өзара салыстыра зерттеушілердің көшбасшысы болды деген пікірді айтқан ғалым ,н а баскаков
махмуд қашғари өмір сүрген кезең ,хіғ 
махмуд қашғаридың кітабы , диуани луғат ат түрк 
махмуд қашқаридың айтуы бойынша қыпшақтар құлды қалай атады ,яланкут 
махмуд қашқаридың еңбегі , диуани лұғат ат түрік 
махмұд қаашқаридың айтуы бойынша бұзұқтар мен ұшұқтар болып екі ірі топка бөлінген мемлекет ,оғыз
махмұд қашқаридің түркі тілдес халықтардың тұрмыс тіршілігін әдет ғұрпы және тілі туралы жазған шығармасы ,түркі тілдерінің сөздігі 
махмұт қашғари түрік тілдерінің сөздігі диуани лұғат ат түрік еңбегін жазудан бұрын түгелге жуық аралап шықты ,түріктердің елі мен жерін
махмұт қашғаридің үш кітаптан тұратын белгілі еңбегі , түрік тілдерінің сөздігі диуани лұғат ат түрік 
махмұт қашқаридың түрік тілдерінің сөздігі кітабын жазудағы басты мақсаты түрік тілінің мәртебесін көтеру екенін айтқан орыс ғалымы ,а кононов
мәдени мұра бағдарламасы қабылданған уақыт ,2004 ж 
мәдени мұра мемлекеттік бағдарламасы қабылданған жыл ,2004 ж 
мәдени мұра мемлекеттік бағдарламасы қабылданды ,2004 жылы
мәдениет саласында күрделі қайшылықгарга толы құбылыстар орын алды ,1920 1930 жылдары
мәжіліс депутаттары сайланады ,5 жылға
мәйітті жерлеуге арналған қыш табыттың атауы ,оссуарий 
мәлік ғабдуллин кеңес одағының батыр атағын алды ,мәскеу үшін шайқаста 
мәлімет қалдырған будда ғұламасы ,сюань цзян шуан заң 
мәмлүктік египеттің араб қыпшақ сөздігінде қазақ сөзіне берілген түсіндірмелер , кезбе еркін 
мәншүк шайқасқан бригада ,100 қазақ ұлттық атқыштар бригадасы 
мәскеу түбінде генерал майор и в панфилов қолбасшылық еткен даңқты дивизия ,316 атқыштар дивизиясы 
мәскеу түбінде ерлік көрсеткен қазақ батырлары ,м ғабдуллин т тоқтаров
мәскеу түбінде қаза тапқан кеңес одағының батыры ,т тоқтаров
мәскеу түбінде шайқаста ерлік көрсеткен кеңес одағының батыры ,м ғабдуллин
мәскеу түбіндегі шайқаста ерлік керсеткен кеңес одағының батыры ,б момышұлы
мәскеу түбіндегі шайқастарда ерлікпен шайқасқан қазақстандықтар ,б момышұлы т тоқтаров м ғабдуллин
мәскеу үшін болған шайқаста күрсеткен ерлігі үшін 316 шы атқыштар дивизиясы марапатталды ,қызыл ту орденімен
мәскеу үшін шайқаста 316 шы атқыштар дивизиясы марапатталды ,қызыл ту орденімен 
мәскеу шайқасындағы ерлігі үшін кеңес одағының батыры атағын алған ротаның саяси жетекшісі ,мәлік ғабдуллин 
мәтінге қарап мұрагерлік жолмен сайланған ханды көрсетіңіз қазақ халқында хан көтерудің екі жүйесі қатар болған біріншісі мұрагерлік жол екіншісі сайланып қойылатын мұрагерлік жолмен хандық билік әкеден балаға емес ағадан ініге қалады егер ханға лайықты іні болмаса онда хандық тақ балаға қалуы тиіс бірақ бұл жағдайда да баланың хан лауазымына лайықты тұлға болуы тиіс қазақ хандығының тарихында хан билігінің әкеден балаға берілу үлгісі ,шығайдан тәуекелге
мәтінде xviii г қазақстан мен ресей арасындағы экономикалық байланыстарының дамуынан үзінді келтірілген қазақ ресей саудасының ерекшеліктері арасында катесін табыңыз қазақтардын ресеймен сауда жасайтын негізгі орындары шекара шебіндегі орынбор троицк петропавл омбы семей және өскемсн болды қазақ ресей саудасының бірқатар өзіндік ерекшеліктері де бар еді айналымдағы ақша қазақтарда аз еді сауда бірлігі ісек кой саналды ресей саудагерлері аз уақытгың ішінде ақ байып шыға келді мысалы бағасы 75 тиын түратын 18 метр кенепті бір жылқы мал өгізге айырбас жасады ал ол жылқы мен өгізді ресейге алып барып 12 15 сомнан сатты жауабы ,сауда жасайтын негізгі орындар округтік приказдар болды 
мәтінде берілген үндеуді қай үкімет жариялағанын анықтаңыз ресей мұсылмандары бұдан былай сіздердің діндеріңіз бен әдет ғұрыптарыңыз сіздердің ұлттық жәе мәдени мекемелеріңіз еркіндеп оларға ешкім қол сұқпайды деп жарияланды өздеріңіздің ұлттық өміріңізді еркін және кедергісіз құра беріңіздер сіздердің бұған хақыларыңыз бар біліп қойыңыздар ресейдің барлық халықтарының құқықтары сияқты сіздердің құқықтарыңыз революция мен оның органдарының жұмысшы солдат және гаруа депутаттары кеңестерінің басм күшімен қорғалады осы революцияны және оның өкілеті үкіметін қолдаңыздар жауабы ,кеңес үкіметі 
