question,answer
билікке Шайбан ұрпағы Әбілхайыр хан келді,1428 ж 
моғолстан ханы Уәйс қайтыс болғаннан кейін билік үшін таласқа түскен балалары Жүніс пен Есен бұға,1428 ж 
1428 жылы Әбілқайырды хан сайлағанда қатысқан ақсүйек-шонжарлар саны: ,Екі жүзден астам
1428 жылы Дешті Қыпшақта билікке келген: ,Әбілқайыр
1428 жылы Моғолстан ханы Уәйіс қайтыс болғаннан кейін билік үшін таласқа түскен балалары:,Жүніс пен Есенбұга
1428 жылы Моғолстанға шапқыншылық жасаған Темір ұрпағы кім? ,Ұлықбек
 1428 жылы Моғолстанда билікке таласқан Уәйіс ханның балалары: , Жүніс пен Есен бұға 
 1428-1468 жж Шығыс Дешті Қыпшақ жерінде өмір сүрген хандық: , Әбілқайыр хандығы
1428-1468 жж Шығыс Дешті Қыпшақ жерінде өмір сүрген хандық: ,Әбілқайыр хандығы
Уайс баласы Есен-Бұға өкімет билігін иеленді,1429-1462 жж 
"Әбілхайыр Тобыл өзені бойында Махмуд Қожаны женді, Хорезмді басты, Үргенішті талқандады",1430 ж 
"Әбілхайыр хан Махмуд қожаны өлтіріп, Батыс Сібір Әбілхайыр қарамағында өтті",1430 ж 
"Әбілхайыр хан Екіретүп шайқасында Тоқай-Темір ұрпақтарын жеңіп, Орда Базарды тартып алды ",1431 ж 
астанасы Тура қаласы,1431 ж 
1431 жылы Әбілқайыр Тоқа -Темір ұрпақтарын жеңген жер: ,Екіретұп
Тоқа-Темір ұрпақтарына қарсы шайқаста Әбілқайыр хан жеңіске жеткен жер Екіретүп,1431жылы
"Әбілхайыр Сырдария бойындағы Сығынақ, Созақ, Аққорған, Өзгент, Аркөкті жаулады",1446 ж 
"даланың күшті билеушісі Мұстафа Әбілқайырға соғыс ашып, жеңіліс тапты",1446 ж 
1446 жылы Сығанақты басып алды: ,Әбілқайыр хан
"Орыс ханның немелері Керей мен Жәнібек сұлтандар Өзбек ханы Әбілқайырға қарсы шығып, өзін қолдайтын тайпалармен Жетісуға көшті",1456 ж 
1456-1457 жылдары Әбілқайыр ойраттардан жеңілген жер: ,Сығанақ түбі 
 Әбілқайырдың ойраттардан жеңілген қаласы/ Сығанақ, 1456-1457 жылдары
"Әбілхайыр хан Сығанақ маңында Үз Темір Тайшы бастаған ойраттармен соғысып, жеңіліп қалды ",1456-57
"Әбілхайыр хан Сығанақ маңында Үз Темір Тайшы бастаған ойраттармен соғысып, жеңіліп қалды, Сығанақ бекінісіне тығылды",1456-57 ж
"Әбілхайыр Үз Темір бастаған ойраттардан Сығанақ түбінде, Көккесене деген жерде жеңілді",1457 ж
1457 ж Әбілхайыр хан Сығанақ түбінде жеңілді – ,ойраттан
1465-1466 жылы болған тарихи окиға: ,Қазақ хандығының құрылуы
"15ғ-16ғ аралығы, Шалкиіз Тліеншіұлы жыраудың жылдары",1465-1560 ж 
Қазақ хандығы құрылды (М Хайдар Дулати) ,1465-66 жж 
"Әбілхайыр хан Моғолстанға жорыққа аттанып, жолда кенет қайтыс болады",1468 ж 
"Батыс Сібір хандығына шайбанилік Ибақ хан болып, Орыс мем-мен байланыс орнатты ",1468 ж 
"Әбілхайыр хан қайтыс болып, оның мемлекеті құлады ",1468 жылы 
1468 жылы дүниеден өткен Өзбек ұлысының ханы: ,Әбілқайыр
1470 ж Жәнібек хан: ,Созаққа шабуыл жасады Созақ пен Сауран қазаққа көшті 
1470 ж Керей хан бастаған қол: ,Түркістанға шабуыл жасады 
1470 жылы Жәнібек хан бастаған қол шабуыл жасады: ,Созаққа
1470 жылы Керей хан бастаған қол шабуыл жасаған қала: ,Түркістан
1470 жылы Керей хан бастаған қол шабуыл жасады: ,Түркістанға
"1470 жылы Керей, Жәнібек хандар шабуыл жасаған қалалар: ","Түркістан, Созақ"
1470 жылы Созаққа шабуыл жасаған Қазақ ханы: ,Жәнібек
1470 жылы Сыр бойындағы қалаларға шабуыл жасаған қазақ қолына басшылық жасағандар: ,"Керей, Жәнібек"
1470 жылы Сыр бойындағы қалаларға шабуыл жасаған қазақ қолына басшылық жасады: ,"Керей, Жәнібек"
1470 жылы Түркістанға шабуыл жасаған Қазақ ханы:,Керей
1470 жылы Шайбанилер қазақтардан жеңіліс тапқан қала: ,Сауран
Әбілхайыр немересі Мұхаммед Шайбани қазақ хандарымен Сырдария мен Қаратау аймағындағы қалалар үшін күрес жүргізді,1470-1510 жж 
қазақ хандығының жағына Моғол билеушісі Жүніс қосылды,1480 ж 
Бұрындық хан қазақарды басқарды,1480-1511 жж 
Ибақ хан 3 Ивамен сауда қатынастары туралы шарт жасасты,1481-1483 жж 
Жүніс хан Ташкент пен Сайрамды жаулады,1482-1485 жж 
1482-1485 жылдары Моғолстан ханы Жүніс хан басып алган қалалар: ,"Ташкент , Сайрам "
"қазақтар Шайбанидің інісі отырған Иасы қаласын қоршап, ұрыс нәтижесінде, Шайбани жеңіліп, Хорезмге қашты",1486 ж 
"моғол билеушісі Жүністің баласы Сұлтан Махмұд Отырарды басып алды да, Мұхамед Шайбаниге берді", 1490ж 
1490 ж Азов қаласында дүниеге келген жырау, Доспамбет
1490 жылы Азов қаласында дүниеге келген жырау , Доспамбет
Темір әулетінің ақырғы өкілі Махмұт сұлтаннан қаланы (Түркістан) шайбани тартып алды,1495 ж 
"Іле Алатауы етегінде өзбектер жеңіске жетіп, Сыр бойындағы қалаларды иеленді",1495 ж 
"Мұхаммед Хайдар Дулати өзінің «Жаһаннама», «Тарих-и-Рашиди» деген еңбектерін жазды ",1499-1552 жж 
 Алтын Орда бірнеше ұлыстарға бөлінді, 15 ғ ортасына қарай 
"Асан Қайғы өмір сүрді, Қазтуған- көрнекті ақын жырау",15 ғасырда 
15 жастан 50 жасқа дейінгі жалпыға бірдей міндетті сауат ашу енгізілді:,1931 ж 
150 шақырым жерден жинап әкеліп қала үлгісіндегі поселка жасаған аудан – ,Шу 
Мұхаммед Шайбани Самарқанды алды,1500 ж 
Мұхаммед Шайбани Орта Азияны жаулады,1501-1502 жж 
1502 ж өлген Алтын Орданың соңғы ханы: ,Шейх Ахмед 
 Қасым Василий мен орыс мемлекетімен дипломатиялық қатынас орнады , 1505-1533 жж 
" Мұхаммед Шайбани көп әскерімен Жаныш сұлтан қыстап отырған Қараталға күтпеген жерден шабуыл жасап, қазақтарды жеңіліске ұшыратты", 1509 ж 
"Мұхаммед Шайбани Иран шахымен Исмаилмен шайқаста жеңіліп, Мерв түбіндегі шайқаста қаза болды",1510 ж 
"Мұхаммед Шайбани Сығанақ түбінде Қасым ханның әскерінен жеңіліп, қазақ даласындағы ықпалы жойылды",1510 ж 
1510 ж Қасым ханның Мойынсыз-Хасан бастаған шағын тобы: ,Шайбани ұрпақтарының әскерін күйрете жеңді
1510 ж Сығанақ түбінде Мұхаммед Шайбани әскерлерінен жеңілді – ,Қасымның 
1510 жыл Шайбани қаза тапқан соң ұрпақтарының арасындағы алауыздықты пайдаланып Қасым хан басып алған қала: ,Сайрам
 (Сібір хандығы ханы) Көшім Ноғай Ордасының Алтыұл ұлысында туған,1510 жылы
1510 жылы Мухаммед ІІІайбани Қасым ханнан қай жерде жеңілді:,Сығанак түбінде 
Шайбани әскері қазақ әскерінен жеңілгеннен кейін Қасым ханның билігіне өтті Түркістан қалаларының көпшілігі,1510 жылы
Шайбани хан Иран шахымен болған шайқаста қаза тапкан ,1510 жылы
"1510 жылы Шайбани хан қаза тапқан соң, ұрпақтарының арасындағы алауыздықты пайдаланып Қасым хан басып алған қала ",Сайрам
1511 ж Қазақ хандығының билігін қолына алды ,Қасым
1511 жылға дейін Қазақ хандығын билеген Керейдің ұлы: ,Бұрындық
1511 жылы қазақ хандығында билікті қолына алған хан: ,Қасым
1511 жылы қазақ хандығының билігін қолына алған хан: ,Қасым 
Қасым хан билігі (Әз Жәнібектің ұлы) ,1511-1518 жж 
"Бабырдың ізбасары Қаттабек шақыруымен Қасым хан онымен одақ жасасып, Ташкент билеушісі Сүйініш қожаға соғыс ашты (Ташкентте жараланып Сайрамға шегінді) ",1513 ж 
Қасым хан Сайрамды алды,1513 ж 
"Қасым хан Моғолстан ханы Сұлтан Саидпен одақтас болып, Ташкентке бірігіп жорық жасауға келісті",1513 ж 
1513 жылы Қасым ханның басып алған қаласы,Сайрам 
1513 жылы Қасым ханның басып алған қаласы,Сайрам 
Сұлтан Саид Шығыс Түркістанға кеткен соң Қасымның Жетісудағы билігі нығайды,1514 ж 
Мамаш,1518-1523 ж 
1518-1523 жж – Мамаш хан (Қасымның ұлы) 1523 жылы Астрахан түбіндегі шайқаста қаза тапқан жырау:е) ,Доспанбет жырау
Қасым хан Сарайшық қаласында қайтыс болды (Қ Жалайри) халық 1 млн Жетті,1523 (1521) ж
Қасымның немере інісі Тақыр хан болды,1523-1533 жж 
Тақыр Сұлтан Саидке қарсы қырғыздармен одақ жасасты,1524 ж 
"Тақыр хан қырғыздармен одақ құрып, өз билігін қырғыз халқына да жүргізді",1527 ж 
Бұйдаш хан Тақырдың інісі хан болды,1533-1534 жж 
Қожа Мақмұт хан болды,1534-1535 жж 
1535-1538 жж – хан атағы болған қазақ сұлтандары: ,"Тоғым хан, Ахмет хан, Хақназар, Наурыз-Ахмет хан"
"Хақназар Қазақ хандығының ханы болды, Қасым баласы",1537-1580 жж 
1538-1580 жж Қазақ хандығын басқарған хан: ,Хақназар
1538-1580 жылдары билік құрған:,Хақназар хан 
1550 жылдардың ортасында Ресейге қосылған хандықтар: ,"Қазан, Астрахань"
"Көшім ноғайлар мен қазақтардың жасақтарын басқарып, Сібір жұртын билеген Тайбұға руымен соғысады",1555 ж 
1558-1560 жылдары қазақтарды «Ислам дініне сенетін халықтар» -деп жазған ағылшын көпесі:,А Дженкинсон
1558-60 ж Қазақстанда болған ағылшын көпесі Дженкинсон казақтарды: ,"Ислам дініне сенетін халықтар, - деп жазады "
моғолдар қазақ-қырғыз соғыс одағын женді,1560 ж 
Шайбан әулетінен шыққан Көшім қазақ хандығына қарсы болды,1563 ж 
Көшім Сібір ханы аттанды,1563 ж 
Хақназар сауда қатынастары Семен Мальцев,1569 ж 
1569-1573 ж ж Қазақ хандығына жіберілген орыс елшісі- ,Т Чебуков пен С Мальцев
1570 жылдардың аяғында Моғолстаннан Қазақ хандығына өткен жерлер: ,Жетісудың батысы 
1570 жылдардың аяғында Хақназар билігінде болған жер: ,Жетісудың батысы 
1570 жылдардың аяғында Хақназар билігінде болған өңір: ,"Шу, Талас өңірі "
 1570 жылдардың аяғында Хақназардың билігінде болған өңір: ," Шу, Талас өңірі"
1570 жылдары Хақназардың билігінде болған өңір: ,"Шу, Талас өңірі"
 Қазақ хандығына жіберілген Мәскеу елшісі Чебуков Көшім бұйрығымен өлтірілді , 1573 ж 
 Третьяк Чебуков қазақ хандығы туралы мәліметтер қалдырды (4 Иван тұсынд , 1573 ж 
" Иван грозный Сібірге А Личеницын басқарған отряд жіберді, бірақ орыс әскері жеңіледі", 1574-1575 жж 
1577 ж - Борис Доможиров дерегі: ,"Хақназар өзін патша, әрі ұлы князь деп санады"
қазақ сұлтандары Ташкентке келген кезде Хақназар Баба сұлтаннан жер сұрады,1579 ж 
1579 жылы Хақназар хан қолдау білдірген Өзбек ханы: ,Абдаллах
Баба сұлтанның тыңшысы Хақназарды өлтірді,1580 ж 
Сібір ханы Көшіммен соғыста қолға түскен Ораз-Мұхаммедті орыс тұтқынынан босатты,1580 ж 
1580 ж Сарайшық қаласының біржола қирау себебі: ,"Дон, Еділ казактарының Жайық бойына шапқыншылық жасау салдарынан"
1580 жылы болған оқиға: ,"Хақназар хан өлтірілді, казактар шапқыншылығынан Сарайшық қаласы біржолата қирады"
1580 жылы болған оқиға: ,"Хақназар хан өлтірілді, казактар шапқыншылығынан Сарайшық қаласы біржолата қирады"
1580 жылы Хақназар ханды астыртын өлтіруге бұйрық берген: ,Баба сұлтан
Хақназардың немере інісі 80 жастағы Шығай таққа отырды,1580-1582 жж 
1580-1582 жылдары Қазақ хандығын басқарған: ,Шығай хан
"атаман Ермак 540 казак пен Строгановтардың 50 қызметкерін алып, 30 кемемен Сібірге аттанды",1582 ж – 1 қыркұйек
Шығайдың баласы Тәуекелдің Йассы маңында Баба сұлтан мен соғысы,1582 ж – жаз
"1582 ж Баба сұлтанды жөңіп, Хақназар хан мен Жалым султанның кегін қайтарған – ",Тәуекел султан 
"Бұхардың жауынгер ханы Абдаллах Түркістанды иеленіп, қаланың билеушілерін өз қолымен өзгертіп отыратын болды",1582 ж 
1582 жылы Тәуекел сұлтан бастаған әскерлері Баба сұлтанның әскерін жеңді: ,Түркістан түбінде
Қазақ хандығын Тәуекел хан биледі ,1582-1598 ж ж
"Шығай қайтыс болып, орнына баласы Тәуекел отырды",1582-1598 жж 
Тәуекел хан Өзбек ханымен жасасқан шартты бұзды,1583 ж 
"1583 ж бастап Тәуекел хан үшін «жаңа, мықты жауға» айналған билеуші: ",II Абдаллах
"1583 жылы «Ант беріскен шартты» бұзып, Тәуекел хан Өзбек ханы Абдаллахтан қайтарып алған қалалар: ","Сауран, Түркістан, Отырар, Сайрам"
1583 жылы өзбек ханы Абдаллахпен ант беріскен шартты бүзған хан: ,Тәуекел
1583 жылы Тәуекел хан Абдаллах хандығына шабыл жасап басып алған калалар:,"Сауран, Түркістан, Отырар, Сайрам"
Ермак Көшімнің құрған торынан қаза болды,1584 ж 
 1584 ж Ермакты жеңген қазақ батыры: , Сәтбек 
" Тәуекел Түркістанды басып, Ташкентке қауіп төндірді", 1586 ж 
Тәуекел билікке таласқан Хақназар ұлдарымен күресті,1586-1594 жж 
1587 (1588) жылы орыс әскерлер тұтқындап Мәскеуге алып кеткен қазақтың ғұлама ғалымы:,Қадырғали Жалайыри
Ташкентте Абдаллах ханға қарсы көтеріліс басталды,1588 ж 
 1588 жылы Ертіс өзенінің бойында орыс әскерлері тұтқындап Мәскеуге алып кеткен қазақ ғұлама ғалымы: , Қадырғали Жалаиыри 
 Тәуекел хан Мәскеуге Құл-Мұхаммед бастаған елшілік жіберді, 1594 ж 
1594 ж Мәскеуге Тәуекел ханның елшілігін басқарып келді: ,Құл-Мұхаммед
1594 ж орыс патшасы Федорға елшісі Құл- Мұхаммедті аттандырып өзін қамқорлыққа алуды өтінген қазақ ханы ,Тәуекел
Тәуекел хан Мәскеуге Құл-Мұхаммед бастаған елшілік жіберді,1594 ж 
Тәуекел ханның өкілі Құл-Мұхаммед бастаған алғашқы қазақ елшілігі ,Москваға келді 
1594 ж Құл-Мұхаммед қандай маңызды сұрақты шешу керек болды? ,"Москвада ""аманат"" ретінде қалдырылған інісі Ораз-Мұхаммедті босату және орыс үкіметімен достық қатынас құру "
1594 жылы Мәскеуге Тәуекел ханның елшілігін басқарып келген адам – ,Құл-Мұхаммед
Мәскеуден Тәуекел ханға тілмаш Вельямин Степанов елшілігі жіберілді,1595 ж 
1595 ж Тәуекел ханға орыс елшілігін басқарып келген: ,Степанов 
1595 жылы Тәуекел ханға орыс елшілігін басқарып келген: ,Степанов 
1597-1598 жж - Тәуекел хан Абдаллах ханның әскерін талқандаған жері: ,Ташкент қаласының түбінде
1597-1598 жж қысында Тәекел хан Абдаллах ханның әскерін талқандаған жер: ,Ташкент қаласының түбінде
1597-1598 жж Тәуекел хан Абдаллахқа қарсы соғысқа дер кезінде қайжерде Абдаллах әскерін талкандады- ,Ташкент қаласының түбінде 
"Көшім біржола жеңіліп, Зайсан өңіріне қашты",1598 ж 
Сібір хандығы Ресей құрамына енді ,1598 ж 
Тәуекел Орта Азияға жаңа жорық бастады,1598 ж 
Тәуекел Ташкентте қайтыс болды ,1598 ж 
1598 ж - Тәуекел хан қайтыс болды Оған қай қаладағы ұрыста алған ауыр жарақаты себеп болды? ,Бұқардағы 
 Шайбани әулетінің орнына Аштархани әулеті келді (1598-1743) , 1598 ж 
 Тәуекел хан әскерімен Мәуереннахрға кірді, 1598 ж жазы 
 1598 ж Тәуекел хан 70-80 мың қолмен қоршаған Өзбек қаласы: , Бұқара
"1598 жылғы шайқаста екі жақтың билеушісі де қаза болып, екі хандық хансыз қалды, бұл хандықтар: ",Қазақ хандығы мен Өзбек хандығы 
"1598 жылғы шайқаста екі жақтың билеушісі де қаза болып, екі хандық хансыз қалды, бұл хандықтар:",Қазақ хандығы мен өзбек хандығы 
1598 жылы Қазақ хандығының билігін қолына алған Тәуекел ханның інісі: ,Есім хан
1598 жылы Өзбек хандығымен шайқаста Тәуекел хан басып алған қалалар: ,"Ташкент, Самарқан"
1598 жылы Тәуекел хан 70-80 мың әскерімен қоршауға алған Өзбек хандығының астанасы: ,Бұхара
1598 жылы Тәуекел хан 70-80 мың қолмен қоршауға алады : ,Бұхара қаласын
1598 жылы Тәуекел хан басып алған қалалар : ,Ташкент Самарқан қалаларын
1598 жылы Тәуекел хан қайтыс болған қала- ,Ташкент
1598 жылы Тәуекел хан қолы Бұқара қаласын қоршауда ұстады ,20 күн
Есім хан билігі,1598-1628 жж 
қарай Алтын Орда бірнеше ұлыстарға бөлінді,15ғ – ортасына
Асан Қайғы өмір сүрді,15 ғасырда 
" Қазақ хандығымен Сыр бойындағы қалалар үшін соғысқа тартылғандар-Шайбани хан, Моғолстан билеушілері, Темір ұрпақтары ", 15 ғасырда
 Шайбани әулетіне қарсы күрес нәтижесінде Қазақ хандығына қараған қалалар-Сыр бойындағы қалалар ,15 ғасырдың аяғында
 Ноғай Ордасы ыдырап екіге бөлінлі , 15 ғ 2-ші жартысында 
16 ғасырдың ортасында жазылған Өтеміс қажының Шыңғыснама шығармасында баяндалады-,Жошы хан әулетінің тарихы 
 16 жасқа дейінгі жас өспірімдердің жұмысшылар арсындағы үлесі – , 14% 
 Тәуелсіздік күні, 16 желтоқсан 
"Үлкен ноғайлы мырзалары Борис Годунов тұсында, Ресейге тәуелділігін мойындап, Иштерек мырза князь атағын аттанды",1600 ж 
1603 – 1604 жылдары болған қазақ-бұқар шайқасында қазақ қолына негізінен басшылық жасаған хандар: ,"Есім, Тұрсын"
1603 жылы бірінші қазақ-бұхар шайқасы болған жер: ,Айғыржар
1603-1624 ж болған қазақ – бұқар шайқасында қазақ қолына негізінен басшылық жасаған хандар:,Есім-Тұрсын хандар
1603-1624 жылдары Қазақ хандығымен шайқасқа түсті: ,Бұқар хандығы
1611 ж Бұхар хандығының Қазақ хандығымен келісімге келу себебі:,Бұқарлықтардың Ташкент түбінде жеңілуі
1611 ж Ташкент түбінде Имамқұлды жеңген – ,Есім хан 
1611 ж Ташкент түбінде Есім ханмен ұрысқа түскен Бұхар ханы: ,Имамқұли
 1611 жылы Ташкент түбінде қазақ хандығына қарсы бұхар әскерін бастап келген : , Имамкули 
" 1613 ж өзін Ташкент қаласының билеушісі деп жариялап, өз атынан ақша шығарған хан?", Тұрсын
1613 ж өзін Ташкент қаласының тәуелсіз ханы деп жариялаған: ,Тұрсын
 1613 жылы Есім хан басып кірген қала: , Самарқан
1613-1614 жылдары өзін хан деп жариялаған қазақ сұлтаны: ,Тұрсын Мұхаммед
 Тұрсын Мұхаммед хандығы , 1613-1627 жж 
" Есілде бекініс салынып, жоңғарлардың Ертіс бойымен ілгері жылжуына жол жабылды", 1616 ж 
Орыс патшасы жоңғарлардың қазақ даласына енуіне шек қойды,1619 ж 
"1620-1621 жылдары 4,5,6-шы қазақ-бұхар соғысында казақ әскерін – ",Тұрсын ханбастап шықты 
"Есім хан мен Тұрсын хан бірлесіп, Абылай сұлтанды жазалау үшін Әндіжанға жорық жасады",1624 ж 
1627 ж – ойрат одағы ыдырады: ,"қалмақтар батысқа, хошоуттар Тибетке жер ауды, жоңғарлар Жоңғарияда қалды"
1627 ж ең соңғы 7-ші қазақ-бұқар шайқасында әскерді – ,Есім хан өзі бастады
 1627 ж – Есім хан Тұрсын Мұхамедті өлтіреді 1627 жылы есім ханға қарсы шыққан Тұрсын ханның бүлігін басуға қатысқан жырау: , Марғасқа жырау
"Есім қайтыс болып, Ахмет Йассауи кесенесінде жерленді",1628 ж 
1628-1652 жылдары қазақ ханы болған Есімнің баласы: ,Жәңгір
1628-1652 жылдары хан тағына отырған Есім ханның баласы: ,Жәңгір
Жәңгір хан болды,1629-1652 ж 
Қазақ ханы Есімнің ұлы - Жәңгір болды(«Салқам Жәңгір») ,1629-1652 жж 
"қалмақтар шабуылынан, Үлкен ноғайлы Еділдің батысындағы Кіші Ноғайлылраға қосылды",1634 ж 
"Батур Қонтайшы Қазақстанның оңтүстік аудандарына шабуыл жасап, Жетісудің көп бөлігін жаулаап алды",1635 ж 
Батыс Моңғолияда жоңғарлардың әскери-феодалдық мемлекеті құрылды,1635 ж 
"Батур Қонтайшы Қазақстанның оңтүстік аудандарына шабуыл жасап, Жетісудің көп бөлігін жаулаап алды",1635 ж 
Батыр қонтайшы Жетісудың көп бөлігін жаулап алды,1635 ж 
"1635,1643,1652 жылдары қазақтарға қарсы жорықты басқарған қонтайшы – ",Батыр
1635-1654 жж – Батыр қонтайшы биледі 1640 жылы салынған бекініс – ,Гурьев
"Жәңгір ханның 600 жанкешті сарбаздары жоңғардың 50 мың әскеріне қарсы тұрып, жеңіске жетті",1643 ж 
1643 ж - жоңғарларға карсы ерлікпен шайкаскан хан:,Жәңгір 
Орбұлақ шайқасы,1643 ж 
1643 ж Арал өңірінің қазақтары өздерінің ханы етіп сайлады – ,Әбілғазыны 
1643 ж жоңғарларға қарсы ерлікпен шайқасқан хан: ,Жәңгір
 1643 ж Орбулақ шайқасындағы батырлар: ," Найман Көксерек, алшын Жиембет, қаңлы Сарпық, шапырашты Қарасай, арғын Ағынтай "
 1643 ж Орбұлақ шайқасында жоңғарлар: , 10 мың әскерінен айырылды 
 1643 ж Орбұлақ шайқасындағы батырлар – ," Найман Көксерек, алшын Жиембет, қаңлы Сарпың, шапырашты Қарасай, арғын Ағынтай "
 1643 жылғы Жәңгір ханның басшылығымен қазақтар жоңғарларды жеңген шайқас: , Орбұлақ шайқасы
 1643 жылғы Орбұлақ шайқасын ұйымдастыруға қатысқан батырлар: ," Шапырашты Қарасай, Арғын Ағынтай, Найман Көксерек, Алшын Жиембет, қаңлы Сарпың "
 1643 жылы Арал өңірінің қазақтары сайлаған хан: , Әбілғазы
1643 жылы болған шайқас:,Орбұлақ
 1643 жылы Жәңгір ханның басшылығымен қазақтар жоңғарларды жеңген шайқас: , Орбұлақ 
 1643 жылы жоңғармен шайқаста Алшын Жалаңтөс батыр көмекке келді:, Жәңгір ханға 
 1643 жылы қазақ-жоңғар ұрысында қазақ әскерін қай хан басқарды? , Жәңгір хан 
"Ресейден зеңбіректер сатып алып, қаруланған жоңғарлар Қазақ жеріне қайта шабуылдап, қазақ әскерін женді, майданда Жәңгір хан қайтыс болды ",1652 ж 
1652 жылы қазақ жеріне шабуыл жасаған жоңғар қонтайшысы: ,Батыр
Әз-Тәуке хан билігі,1657-1718 ж 
Әлібекұлы Төле Би Жаныс руынан шыққан ұлы жүздің биі,1663-1756 жж 
Әйтеке би,1666-1722 жж 
Қаз дауысты Қазыбек Орта жүз Арғын ішіндегі Каракесек,1667-1764 жж 
"1675-1768 жылдары өмір сүрген ауыз әдебиетінің өкілі, көрнекті жырау: ", Ақтамберді жырау
жоңғарлар Оңт Қазақстанға жорығы кезінде Түркістанды ала алмады,1680 ж 
1680 ж жоңғарлар шабуылынан Түркістан қаласының аман қалу себебі: ,Тәуке хан әскерімен қалада болды
"1680 жылдары жоңғар әскері Жетісу мен Оңтүстік Қазақстанға баса көктеп кіріп, басып алған қалалар саны: ",9
1680 жылы жоңғар шапқыншылығы кезінде аман қалған қала:,Түркістан
1680 жылы Қазақ хандығының билігін қолына алған Жәңгір ханның ұлы:,Тәуке
Тәуке хан билігі,1680-1718 ж 
1680-1718 жылдары қазақ хандығын басқарды: ,Тәуке хан
1680-1718 жылдары қазақ ханы болды – ,Тәуке хан 
1681 – 1685 жылдары жоңғар феодалдары Оңтүстік Қазақстанға басып кіріп қиратқан қала: ,Сайрам
1681 – 1685 жылдары Оңтүстік Қазақстанға басып кірген жоңғар әскерінің бір бөлігі жетті: ,Сарысу өзеніне дейін
"1681-1685 жылдары жоңғар феодалдары Оңтүстік Қазақстан жеріне шабуыл жасап, әскерлерінің бір тобы жетті: ",Сарысу өзеніне дейін
 1681-1685 жылдары жоңғар феодалдары Оңтүстік Қазақстанға бірнеше рет шабуыл жасау нәтижесінде қиратылған қала: , Сайрам 
 1681-1685 жылдары Оңтүстік Қазақстан жеріне бірнеше рет шабуыл жасады: , Жоңғарлар
"1684-1781 жылдары өмір сүрген қазақ әдебиетінің алдыңғы қатардағы өкілдерінің бірі, белгілі жырау ",Букар жырау
Сібірге 5 рет елшілік жіберіп орыс-қазақ қатынастарды дамытты,1686-1693 ж 
Тәуке хан Сібірге 5 рет елшілік жіберіп орыс-қазақ қатынастарды дамытты,1686-1693 жж 
Тәуке Орта Азиямен сауданы дамытты,1687-1688 жж 
Бөгенбай батыр,1690-1775 жж 
Қаракерей Қабанбай (шын аты Ерасыл) ,1691-1769 жж 
Кіші жүзде Әбілхайыр билігі ,1693-1748 ж 
Кіші жүзде Әбілхайыр билігі ,1693-1748 жж 
Тәуке хан 1 Петрмен елші Аталықов арқылы сауда байланысын күшейту туралы келісті,1694 ж 
1694 ж -Тәуке хан І Петрмен елші Аталыков арқылы кандай келісім жасады: ,Сауда байланысын күшейту
1694 ж І Петрмен елші Аталықов арқылы сауда байланысын дамытуға келісім жасаған хан:,Тәуке
1694 жылы І Петрмен елші Аталықов арқылы сауда байланысын дамытуға келісім жасаған хан: ,Тәуке
1694 жылы І Петрмен елші Аталықов арқылы сауда байланысын жасаған – ,Тәуке хан
 17 ғ Түркістан қаласына тән емес белгі- , Ұлықбектің кесенесі орналасқан 
1706-1778 жылдары өмір сүрген белгілі жырау: ,Үмбетей
" Құттымбекұлы Наурызбай, ", 1706-1781 жж 
 1708 жылы башқұрттар көтерілісі кезінде оларға қолдау көрсеткен хан: , Тәуке хан
1710 ж Жоңғарларға қарсы күресу үшін үш жүз өкілдерінің бас қосқан жері: ,Қарақұм
1710 ж қазақ жүздерінің Қарақұм маңына бас қосу себебі: ,Жоңғарларға қарсы тойтарыс беру 
Қарақұм жиыны,1710 ж 
1710 ж -Тәуке ханның ордасында үш жүздің өкілдері қандай мәселелерді талқылады? ,Жоңғарларға тойтарыс беру үшін әскери күшті үйымдастыру 
"1710 жылғы қазақ жүздерінің белгілі өкілдері бас қосьіп, жоңғарларға қарсы төтеп беру мәселесін талқылаған жер: ",Қарақұм маңы
1710 жылы жоңғарларға қарсы күресу үшін үш жүз өкілдерінің бас қосқан жері –, Қарақұм
1710 жылы жоңғарларға қарсы үш жүз басын қосқан: ,Тәуке хан 
1710 жылы жоңғарларға қарсы үш жүздің басын қосқан: ,Тәуке хан 
1710 жылы қазақ жерінің Қарақұм маңында бас қосу себебі:,Жоңғарларға қарсы тойтарыс беру 
"1710 жылы қазақ жүздерінің белгілі өкілдері бас қосып, жоңғарларға соққы беру мәселесін талқылаған жер: ",Қарақұм
1710 жылы қазақ жүздерінің белгілі өкілдері жоңғарларға соққы берудің мүмкіндіктерін талқылаған жер: ,Қарақұм
қазақ жүздерінің өкілдерінің Қаракұм маңында бас косып талқылаған мәселесі - жау шабуылынтойтару ,1710 жылы
1710 жылы Тәуке ханның ордасында үш жүздің өкілдері талқылаған мәселе: ,Жоңғарларға қарсы күш біріктіру
Абылай хан өмір сүрген жылдары,1711-1781 ж 
Абылай хан өмір сүрген жылдары,1711-1781 жж 
1711-1781 жылдары өмір сүрген қазақтың ұлы ханы: ,Абылай
1712 ж қазақ жасақтары басып кірді – ,Жоңғарияға 
1714(1716)-1720 жылдары Ертіс өзенінің бойына салынған бекіністер: ,"Железинск, Коряков"
