question,answer
Жетісуда Кеңес өкіметі орнаған мерзім?,1918 ж наурыз 
Жетісуда Кеңес өкіметі орнаған мерзім: ,1918 ж наурыз 
Жетісуда Кеңес өкіметі үшін күресте үлкен рөл атқарған оқиға: ,Черкасск қорғанысы
Жетісуда Кеңес үкіметін орнатуға қатыспағанқайраткер?,Сәкен Сейфуллин 
Жетісуда мергендер отрядын басқарған: ,Ұ Монай
Жетісуда орыс шаруаларының ішінен Қарқар ошағын ұйымдастырушылардың бірі ?,Е Курев 
"Жетісуда таптық күштердің ара жігі ашылып,1917 ж 19 желтоқсанда Кеңес өкіметінің қуаттаған ""Крестьянская газета""жауып тасталды Айуандықпен өлтірілген газет хатшысы?",Березовский 
"Жетісуда таптық күштердің ара жігі ашылып,1917 ж 19-желтоқсанда Кеңес өкіметінің тұғырнамасын куаттаған ""Крестьянская газета"" жауып тасталды Айуандыкпен өлтірілген газеттің хатшысы кім еді?",Березовский 
Жетісудағы 1916 жылғы көтерілістің жетекшілерінің бірі?,Бекболат Әшекеев 
Жетісудағы 1916 жылғы көтерілістің жетекілілерінің бірі: ,Б Әшекеев 
Жетісудағы жергілікті түркі тілдес халыктармен араласып кеткен қидандар:,Қарақытайлар деп атала бастады 
Жетісудағы жергілікті түркі тілдес халықпен араласып кеткен қидандар атала бастады?,Қарақытайлар 
Жетісудағы көтеріліс кезінде Пржевальскийде Қытай азаматы қаза тапты?,400 адам 
"Жетісудағы көтеріліс кезінде, Пржевальскийде Қытай азаматтығын алған қанша адам қаза тапты?",450
Жетісудағы сақ жерлерін б з б ІІ ғасырда Орталық Азиядан келген тайпа мекендеген?,Үйсін 
Жетісудағы сақ жерлеріне б з б ІІ ғасырда Орталық Азиядан келіп қоныстанған тайпа?,Үйсіндер
Жетісудағы сақтар обаларының түрі?,3-ке бөлінеді
Жетісудағы тарихи жағдай туралы және казақ хандығының құрылу мерзімі туралы жазды?,Мұхаммед Хайдар 
Жетісудағы тарихи жағдай туралы және қазақ хандығының құрылу мерзімі туралы:,Мұхаммед Хайдар жазды
Жетісудағы тиграхауд сақ жерін мекендеді?,үйсін 
Жетісудағы үйсін қорымдарынан алынған бас сүйек терантропологиялық жағынан?,еуропеоидтар 
Жетісудағы үйсін мәдениетіне ұқсас ескерткіштер табылған өңір: ,Тарбағатай теріскейі
Жетісуды мекендеген сақтар: ,Тиграхауда сақтары 
Жетісуды мекендеген сақтарды парсылар атады: ,тиграхауда
Жетісудың Қоқан езгісінен құтылуында қай жердегі шайқастың маңызы зор болды? ,Ұзынағаш түбіндегі 
Жетісудың Қоқанезгісінен құтылуында маңызызор болды?,Ұзынағаш түбіңдегі шайқастың 
Жетісудың оңтүстік-батысында (орталығы Тараз) ?,6 қала жұрты табылған 
Жетісудың Ресейге қосылуының аяқталу кезеңінде Алатау округін басқарды?,Колпаковский 
Жетісудың Ресейге қосылуының аяқталу кезеңіндегі Алатау округін басқарушы: ,Колпаковский
Жетісудың солтүстік-шығыс бөлігі?,Үгедей ұлысы 
Жетісудің Қоқан озбырлығынан құтылуына ықпал етті?,Ұзынағаш түбіндегі жеңіс 
"Жиын-тойларда тәртіпті, салт-дәст рді қадағалап отыратындар: ",Жасауылдар
Жиырма жетінші XXVІІ жазғы олимпиадалық ойындардың чемпиондары: ,"Саттарханов, Ибраиымов "
Жоғарғы Кеңестің сессиясында кең талқыланғаннан кейін 1992 ж маусымда бекітілді?,Мемлекеттік Ту мен Елтаңба 
Жоғарғы Кеңестің сессиясында кең талқыланғаннан кейін қашан Мемлекеттік Ту мен Елтаңба бекітілді? ,1992 ж маусым 
Жоғарғы Кеңестің таратылғаны ресми түрде жарияланды:,1993 ж 13 желтоқсан 
Жоғарғы Кеңестің төрағасы С Әбділдин 1993 жылы 13 желтоқсанда ресми түрде жариялады: ,Жоғарғы Кеңестің таратылғанын
Жоғарғы Кеңестің шешімімен Қазақ КСР-і Президентінің қызметі тағайындалды: ,1990 жылы сәуірді
Жоғарғы палеолит дәуірінде адамдар көбінесе ,–Қолдан салынған баспаналарда тұрды
Жоғарғы палеолитте адам тұрды ?,қолдан салынған баспанада 
Жоғары Кеңес Қазақстан Республикасының жаңа әнұранының мәтінін бекітті?,1992 жылы желтоқсанда 
Жоғары Кеңестің ұйаруымен Қазақ КСР-і Президентінің қызметі тағайындалды:,1990 жылы сәуірде
Жоғары христиан дін басыларының жиналысы: ,Собор 
Жоламан Тіленшіұлы бастаған кіші жүздегі көтерілістің себебі?,Отаршылар Жаңа Елек өзені бойында әскери шеп тұрғыза бастады 
Жоңғар әскерлері Жетісу мен Оңтүстік Қазақстанға басып кіріп тоғыз қаланы басып алған жыл: ,1680 ж 
Жоңғар басқыншыларына қарсы қарулы қарсылықты ұйымдастырушы батыр:,Райымбек 
Жоңғар билеушісінің лауазымы қалай аталды? ,Қоңтайшы 
Жоңғар қонтайшысы Қалдан-Сереннің Орта жүз бен Кіші жүзге жасаған шапқыншылығы болды: ,1741-1742 жылдары 
Жоңғар қонтайшысы Себан –Рабданның қазақ жеріне жорығы сәтсіздікпен аяқталған уақыты: ,1713 жылы
Жоңғар мемлекеті толық талқандалғаннан кейін жоңғар жерінде құрылды: ,Қытайдың Шыңжан аймағы
"Жоңғар тағынан дәмеленушілердің бірі, Абылайды паналап орта жүзге қашқан? ",Әмірсана 
Жоңғар тұтқынынан Абылайды босатуға қатысқан зерттеуші?,К Миллер
"Жоңғар тұтқынынан Абылайды босатуға қатысқаны туралы мәлімет,Қазақстан туралы көптеген бағалы деректер қалдырған?",И Миллер 
Жоңғар хандығы қай ғасырда құрылды? ,XVІІ ғ 
Жоңғар хандығы қай жылы құрылды? ,1635 жылы 
Жоңғар хандығы құрылды?,1635 жылы
Жоңғар хандығы құрылды ?,XVІІ ғасырда
Жоңғар хандығының ең жоғарғы билеушісі:,Қонтайшы 
Жоңғар хандығының жоғарғы билеушісінің лауазымы?,Қонтайшы
Жоңғар хандығының негізін 1635ж қалаған ?,Батыр қонтайшы
Жоңғар хандығының тарих сахнасынан жойылған жылы: ,1758 жылы
Жоңғар шапқыншылығы кезінде Алматыда жерленген батырдың бірі?,Райымбек 
Жоңғар шапқыншылығы кезінде ел басына түскен қайғы-қасіреттен туған ән?,"""Елім-ай"" "
Жоңғар шапқыншылығы кезінде есімі аңызға айналған қазақ батырлары: ,"Малайсары, Наурызбай"
"Жоңғар шапқыншылығы кезінде қазақ халқының рухын көтеріп, ірі жеңіске жеткен шайқас: ",Қалмақ қырылған
Жоңғар шапқыншылығы кезінде қол бастаған әйгілі батыр: ,Баян батыр
Жоңғар шапқыншылығы кезіндегі қайғы- қасірет әсерінен туған ән: ,"""Елім-ай"" "
Жоңғар шапқыншылығына қарсы күрескен қазақ батырлары: ,"Малайсары, Есет"
Жоңғар шапқыншылығынан қатты ойрандалған: ,Жетісу
Жоңғардың қалың қолы Қазақстанға тұтқиылдан басып кірген жыл: ,1723 жылы 
"Жоңғария 1758 ж дербес ел ретінде тариқи сахнадан жоғалып, 1761ж қандай елге айналды?",Шыңжаң әкімшілік бірлестігі болып Цинь империясының құрамына кірді
Жоңғария дербес ел ретінде тарих сахынасынан жойылған жыл: ,1758 ж
Жоңғария дербес ел ретінде тарихи сахнадан жойылды: ,1758 ж 
Жоңғария жаулап алынды?,1755 жылы 
Жоңғария шапқыншылығынан қазақтарды қорғауда елеулі орын алған Ресейдің әскери барлау экспедициялары: ,подполковник И Д Бухгольцтың басшылығындағы
Жоңғария шапқыншылығынан қазақтарды қорғауда елеулі орын алған Ресейдің әскери барлау экспедициялары: ,подполковник П Ступиннің басшылығындағы
Жоңғария шапқыншылығынан қазақтарды қорғауда елеулі орын алған Ресейдің әскери барлау экспедициялары:,майор И М Лихаревтің басшылығындағы
Жоңғария шапқыншылығынан қазақтарды қорғауда елеулі орын алған Ресейдің әскери барлау экспедициялары:,Князь А Бекович- Черкасскийдің басшылығындағы 
Жоңғариядағыжоғары билеушінің титулы?,қонтайшы 
Жоңғарияны Қытай әскері қашан талқандады? ,1756-1758 жж 
Жоңғарлар екінші рет үлкен жеңіліске қай жылыұшырады?,1729 ж 
"Жоңғарлар, Еділ қалмақтары, Жайық қазақтары және башқұрт қазақтарды жан-жақтан ойрандады, малдарын айдап әкетті, бүтін отбасыларын тұтқындап алып кетті деп жазды?",Шоқан Уәлиханов
"Жоңғарлар,Еділ қалмақгары,Жайық қазактары және башқұрттар қазақтарды жан-жақтан ойрандады, малдарын айдап әкетті, бүтін отбасыларын тұтқындап алып кетті деп Шоқан Уәлиханов қай кезең туралы жазды?",XVІІІ ғ басы 
Жоңғарларға карсы күрестегі ерлігі үшін халықтың Жәңгірге берген атауы ?,Салқам Жәңгір 
Жоңғарларға қарсы күресте қол бастаған қазақ батыры: ,Бөгенбай 
"Жоңғарларға қарсы күресте қол бастап, біртұтас әскер ұйымдастыруда ерекше көзге түскен қазақ батыры:",Бөгенбай
"Жоңғарларға қарсы күресте қол бастап, ерекше көзге түскен қазақ батыры: ",Бөгенбай 
Жоңғарларға қарсы күресті ұйымдастырған батырлардың бірі: ,Қабанбай батыр 
Жоңғарларға қарсы күресу үшін үш жүз өкілдері 1726ж қай жерде бас қосты? ,Ордабасы тауында 
Жоңғарларға қарсы күресу үшін үш жүздің біріккен әскер жасақтарын құру туралы бірінші құрылтай шақырылды?,1710 жылы жазда 
Жоңғарларға қарсы қол бастаған батырлар: ,"Малайсары батыр, Баян батыр, Қарасай батыр "
Жоңғарларға тойтарыс беру үшін Қарақұм маңында қазақ жүздерінің өкілдері бас қосқан жыл: ,1710 ж 
Жоңғарларға төтеп бере алмаған Ұлы жүздің көпшілік рулары мен Орта жүздің бірқатар рулары үдере көшті?,Ходжентке
Жоңғарлардағы шонжар-феодалдар : ,нояндар мен жайсандар 
Жоңғарлардан қашқан Орта жүз рулары үдере көшті: ,Самарқанға
Жоңғарлардың 1680 ж шабуылынан аман калған қала?,Түркістан
Жоңғарлардың 1723 жылғы қазақтарға қарсы жорығы: ,«Ақтабан шұбырынды» 
Жоңғарлардың діні: ,Будданың ламаизм тармағы 
Жоңғарлардың қазақ жеріне басып кіруі?,1723 жыл
Жоңғарлардың қазақ жеріне шабуыл уақытша бәсеңдеткен жағдай ?,"Тәуке ханның қырғыз, қарақалпақтармен одақтас болуы "
Жоңғарлардың қазақтарға қарсы жорықтары қашаннан бастап тұрақты бола бастады?,Батыр қоңтайшы басқарғаннан бастап
Жоңғарлардың мақсаты ?,қазақ жерін өзіне қарату
Жоңғарлардың Ташкент және Түркістан қалаларын басып алуы: ,1724-1725 ж 
Жоңғарлардың Ташкент және Түркістанды басуы ?,1724-1725 жж 
Жоңғарлардың ташкент пен Түркістанды басып алуы: ,1725 жылы
Жоңғарлардың ту сыртынан соққы берген батыр: ,Жалаңтөс 
Жоңғарлардыңқалың қолы қазақ жеріне қай жылы баса-көктеп кірді?,1643 ж 
Жоңғарлармен соғысқан кезде қазақ әскерлерінің қару-жарақ түрлері болды?,"найза, білтелі мылтық, қылыш, садақ "
Жоңғарлармен соғыста көзге түскен ?,Қанжығалы Бөгенбай
"Жошы өлгеннен кейін, оның орнына отырды:",Батый 
Жошы ұлысы қазақ жерінде: ,"Шығыс Дешті Қыпшақ, Арал, Сырдарияның төменгі ағысы "
Жошы ұлысына қараған жерлер?,Ертістен бастап Еуропаға дейін 
Жошы ұлысының орнына құрылған алғашқы мемлекет:,Алтын Орда 
Жошы ұлысының орнына құрылған алғашқы ірі мемлекет : ,Алтын Орда
Жошы ханның бесінші ұлы Шайбани ханның ұрпағы?,Әбілқайыр 
Жошының күмбезі сақталған жер:,Сарысу мен Кеңгір өзендерінің құйылысы
"Жошының үлкен ұлы, сол қанатты басқарған: ",Орда Ежен
Жувейни Батый туралы: ,«Оның ордасына саудагерлер барлық жерден келіп жатты»- деп жазды 
Жужан қағандығы түркілерден бас көтере алмастай болып жеңінді: ,552-554 жж 
"Жужан қағаны Анағұйды жеңген соң,Бумын қандай атақ иеленді? ",Елхан
Жужандар Түрік қағанатынан түпкілікті жеңілді: ,Мұқан қаған кезінде
Жуынды су ағатын құдық?,ташнау 
Жұлдызды аспан шырақтарымен байланысты діни культ: ,Астральдық
Жұмабай Шаяхметовтың атқарған қызметі: ,Қазақстан КП ОК-нің бірінші хатшысы
Жұмбақ жалау?,Мұқанов
Жұмсақ болғандықтан мыстан жасалған еңбек құралдар: ,Тез тозды 
Жұмысшы және солдат депутаттарының Кеңестері құрылған мерзім?,1917 жылғы наурыз-сәуір 
Жұмысшы қозғалыстарының саяси әлсіздігінің себебі?,"өндіріс орындарының ұсақтығы, жұмысшылар санының аздығы "
Жұмысшы табы 1970 ж басында жұмыспен қамтылған барлық халықтың қанша пайызын құрады? ,"57,6%"
Жұмысшылардың Қазақстан жағдайындағы таптық қарсылықтарының бірі?,өндіріс орнын тастап кетуі 
Жұмысшылардың таптық қарсыластарының бірі?,өндіріс орындарын тастапкету 
Жұмысшының жағдайын жақсарту мақсатында жұмыс істеген ең бұқаралық ұйымды атаңыз? ,Кәсіподақтар
"Жұрт сеңдей соғылды, түнде ұйқыдан, күндіз күлкіден айырылды» деп жазған: ",М Дулатов 
Жұрттың айтуына қарағанда қазақ сұлтандары мен хандарының бір де біреуі бұл халықты дәл Қасым сияқты бағындыра алмаған Оның қарамағындағы атты әскер саны 300 мыңға жуық еді деп айтқан ортағасырлық автор?,Бабыр
Жұт - деген сөздің мағынасы: ,Малдардың жаппай қырылуы 
Жұт деген не? ,Жаппай малдың қырылуы 
"Жұт немесе басқа табиғи апаттарға байланысты малы қырылса, өзтуысқандарынан көмек сұрау құқығы қалай аталады?",Жылу 
Жүз деген атау қаңдай мағына береді?,Тарихи- шаруащылық аймақ 
"Жүз метр қашықтыққа ұшатын, орақ тәріздес қару?",Бумеранг 
"Жүз"" бен ""халықтық"" түсініктерін салыстырғанда қазақ жүздеріп айқындайтын белгіні атаңыз?",мемлекеттің алғашқы құрылған кезіндегі өзінің жеке
Жүздеген жылдар ішінде Қазақстан мен Орта Азия территориясында барлық медреселерде окулық ретінде кімдердің жинағы оқылды? ,Яссауи мен Қашғари 
Жүздеген жылдар ішінде Қазақстан мен Орта Азиядағы барлықмедреседе оқылды?,Яссауи мен Бақырғани 
Жүк көлігі ретінде пайдаланылатын жануар:,Түйе 
Жүсіп Баласағұн қай жылдары өмір сүрді? ,1021-1075 жж 
Жүсіп Баласағұнға «Құтадығу білік» еңбегі үшін Арсылан ханның берген лауазымы?,Ұлы хас хаджип 
Жүсіп Баласағұни дүниеге келді?,Шу бойы (Баласағұн қаласы ) 
Жүсіп Баласағұнидің ғылыми еңбегі: ,«Құт негізі – білік»
"Жүсіп Баласағұнидің тарихи және әдеби шығармасы, поэма:","""Бақыт әкелетін білім» («Құтты білік»)"
Жүсіп Баласағұнның өмір сүрген жылдары? ,1021-1075 жж 
Жүсіп-Зылиқа”атты поэманың авторы?,Әли ақын
Жылан Қарауыл аталатын ХІІІ-XVІІ ғасырлардағы бекініс: ,Күлтөбе
Жылжымалы үй: ,Күйме
Жылқы малының пірі:,Қамбар ата 
Жылқы сүйектері өте көп табылған неолиттік тұрақ: ,Ботай
Жылқыны қолға үйретуге байланысты ойлап табылған жаңалық:,Үзеңгі мен ауыздықты ойлап табу 
"Жылма-жыл Қазақстаннан Екатеринбург, Томск, Тобыл уезіне тұз әкетілді?",300 мың пұт 
Жымпиты ауданында барлық шаруашылықтың бірден,—60% ұжымдастырылды
Жібек жолы арқылы асыл тұқымды жылқылар тасылған өңір: ,Орта Азия
Жібек жолы арқылы басқа діндермен қатар таралған манихейлік дін?,ІІІ ғ Иранда пайда болды
Жібек Жолы арқылы басқа діндермен қатар таралған манихейлік дін қашан және қайда пайда болды? ,ІІІ ғ Иранда 
Жібек жолы арқылы Рубрук барып қайтқан мемлекет?,Моңғолия
Жібек жолы арқылы соғдылар түріктерден үйреніп меңгерді: ,мал өсіруді
Жібек жолы арқылы таралған керамикадағы ақ түс пен көк түстің үйлесімді өрнектеу стилі?,Тимуридтік
Жібек жолы бойындағы елдердің әдебиеті мен өнері:,Бір-біріне әсер етті
"Жібек жолы бойындағы мәдени байланыста ерекше байқалған рухани, мәдени сала: ",Музыка
Жібек жолы бойындағы Талас жазығындағы VІ ғасырдан белгілі Ежелгі қала?,Тараз 
Жібек жолы қашан пайдаланыла бастады?,Б э д ІІ ғ ортасы 
Жібек жолы пайдаланыла бастады?,б э д ІІ ғ ортасынан 
Жібек жолына «Ұлы» сөзінің қосылуы?,Шығыс пен Батысты байланыстырды 
Жібек жолында валюта ретінде:,Жібек жүрді 
Жібек жолында Византиялық алтын солид ?,халыкаралық валюта ролін атқарды 
"Жібек жолындағы сауданың бәсеңдеп, қалалардың әлсіреп, экономикалық жағынан күйреуіне алып келген оқиға?",Моңғол шапқыншылығы
Жібек жолының Орталық Қазақстанға шығатын тармағы?,"Сығанақ, Ақсүмбе"
Жібек жолының Солтүстік-Шығыс Қазақстан бағытындағы бекіністер?,"Айнабұлақ, Хантау, Құлан"
Жібек жолының басты тармақтарының өзгеріп отыруының себебі: ,Халықаралық қақтығыстардың шиеленісуі
Жібек жолының басы басталатын аймақ: ,Қытай жеріндегі Хуанхэ өзені аңғарындағы аймақ
Жібек жолының басы басталған жер?,Хуанхэ өзенінің аңғары 
Жібек жолының батысқа шығу үшін оңтүстік солтүстік бағыттар тармақталған жері?,"Іле, Ыстықкөл"
Жібек жолының бірнеше бағыты өтетін аймақ?,Жетісу
Жібек жолының Жапонияда жібек сататын орындар болуының дәлелі?,ғибадатханада соғды тіліндегі қолжазбаның сақталуы 
Жібек жолының Қазақстан аумағынан өтетін солтүстік бағыты осы-қалаға келгеннен кейін екі тармаққа бөлінеді: ,Испиджаб
Жібек жолының Қазақстандағы Солтүстік- Шығыс тармағы арқылы Моңғолияға Мөңке хандығына барып қайтқан елші:,Рубрук
Жібек жолының қызмет ете бастаған уақытында Қытаймен бірге жібек өндіру ісін дамытты:,"Византия, Соғды, Жапония"
Жібек жолының солтүстік бағыты екі тармаққа бөлінген жер: ,Испиджап қаласы
Жібек жолының тұрақты дипломатиялық жөне сауда күретамыры болып қалыптаскан уақыты: ,Б з б ІІ ғ 
Жібек жолының халықаралық қарым-қатынас жағынан жандана бастаған кезі?,б з б ІІ ғ-ң ортасы 
Жібек жолының халықаралық қарым-қатынас жағынан дами бастаған кезеңі:,б з б ІІ ғасыр ортасы
Жібек жолының шығысқа шығатын бірнеше бағыты өткен аймақ: ,Жетісу
Жібек қай ғасырда бүкіл Еуразияга белгілі болды: ,VІ ғ
Жібек матаны алғаш өндірген халық: ,Қытай 
"Жібек өндіруді дамытып, Қытаймен бәсекеге түскен ел: ",Соғды
Жібек сауда жолы арқылы ерте кезден көп елге тараған қазіргі кезге дейін базарда сатылатын көкөніс түрі: ,қытай немесе болгар бұрышы 
Жібек сауда жолына «ұлы» сөзінің қосылу себебі: ,Шығыс пен Батысты байланыстырды
Жібектің бүкіл Еуразияға әйгілі болған кезеңі: ,VІ ғасырда
Жібектің өндіру тәсілін өте құпия сақтаған ел: ,Қытай
ЖЭС жылдары Ембі мұнайын өңдеуден түскен пайданың қазақ өлкелік бюджетіне түсті?,5 проценті
ЖЭС жылдары Ембі мұнайын өңдеуден түскен пайданың қанша проценті қазақ өлкелік бюджетіне түсті?,5 % 
"ЖЭС жылдары пайдалануға беріліп,1923 жға қарай одақта өндірілетінқорғасынның 40% берген өнеркәсіп:",Риддерқорғасын зауыты 
ЖЭС жылдарында өнеркәсіп саласында ,–түсті металлургияны дамытуға көбірек көңіл бөлген 
ЖЭС кезеңіндегі ауыл шаруашылығын қалпына келтіруге байланысты құрылған ұйым?,ауыл шаруашылық несие қоғамы 
ЖЭС кезеңіндегі мал шаруашылығындағы өзгеріс?,малдың өсуі 
ЖЭС кезеңіндегі мал шаруашылығындағы өзгерістер:,Мал басының өсуі 
ЖЭС кезінде нарықтық қатынастардың нығаюына қарай салық төлеудің заттай және ақшалай аралас түрлері тек ақшалай түрге ауыстырылған мерзім: ,1924 жыл 1 қаңтар
ЖЭС кезіндегі өнеркәсіпті қайта құруда РСФСР үкіметінін көмегі: ,Өнеркәсіптік кәсіпорындардың Қазақстанға ауысуы 
ЖЭС кезіндегі республиканың түсті металлургиясының басты ауданы: ,Кенді Алтай 
ЖЭС нәтижелерінің бірі:,Мал басы мен егін салу алқаптарының көбеюі 
ЖЭС-тің енгізілуімен байланысты жойылды:,еңбек міндеткерлігі
Зайсан ауданы жерінде патша қорғандарының ең көп шоғарылған жері: ,Шілікті ескерткіштері
Зайсан ауданында сақ дәуірінің ,– 200-ден аса обалары орналасқан (олардың50-ден астамы патша-ақсүйектердікі) 
Зардабы жағынан жоңғарлардың «Ақтабан шұбырындыдан» кем туспейтін шабуылы қай жылы болды? ,1741-1742 жж 
Затаевич:,2 300 ден астам халық әндері мен күйлерін жазып алды
Затаевичке Қазақстанның халық әртісі атағы берілді?,1932 жылы 
"Зекет, соғым, сыбаға түріндегі алым-салықты төлеуге кімдер міндетті болды?",Малшылар 
"Зекет, соғым, сыбаға түріндегі салықты төледі?",малшы 
Зергерлік бұйымдар табылған үйсін қорымы:,Ақтас
Зерттеушілер пікірінше дай-массагеттерде болған рәсім түрі?,Отқа табыну
Зороастралық фарн: ,"Үй жануарына табыну (мысалы, Сырдария аймағындақойға табынған, оғыздар шыққан тегін қоймен байланыстырған)"
И И Бутков бастаған комиссияның құрылу себебі:,XIX ғ 60-ж қазақтарды басқарудың жүйесін өзгерту
И В Панфилов дивизиясы құрамында соғысқа қатысты: ,Б Момышұлы
И М Губкиннің «Бұл кен орын елдегі мұнайға аса бай облыстардың бірі» деп меңзеген өңір: ,Орал-Ембі 
Иасы қай ғасырдан бастап Түркістан атанды: ,XІV ғ 
Иасы қаласы Түркістан деп аталды:,ХІV ғасырдан
Ибраһим Құнанбаевты шешесі ¥лжан қалай атап кетті?,Абай 
Игельстром ұсынысы бойынша патша үкіметі кәрі Айшуақты хан етіп бекітті :,1797 жылы 
Игельстромның жоспары бойынша Кіші жүздегі әкімшілік билікті беру көзделді:,Шекаралық сотқа
Игельстромның жоспары бойынша Кіші жүздегі билік берілді: ,Шекаралық сотқа 
Игельстромның жоспары бойынша шекаралық сотқа беру көзделді: ,Кіші жүздегі әкімшілік билікті
Игельстромның реформасының мәні неде? ,Кіші жүздегі хандық билікті айырбастау жолы 
Игорь жасағы туралы жырға» талдау жасаған қазақ ақыны: ,О Сүлейменов
"Имановтың серігі, мерген ?",Кейкі батыр
Император І Павелдің жарлығымен Кіші жүз қазақтарының осы жерде көшіп-қонуы заңдастырылған уақыт?,1801 ж 
Император ІІ Александр «Сырдария мен Жетісу облыстарын басқару туралы Ережені» бекіткен жыл: ,1867 ж шілде
Империалистік соғыс пен азамат соғысы кезінде қарағанды көмірін өндіру қысқарды: ,5 есе
Империялық саясатты қайта қарау жағдайындағы Уақытша үкімет шаралары?,"""Қара жұмысқа"" алған жұмысшыларды қайтару "
Индустрияландыру барысында орнаған Қазақстанға тән экономикалық даму бағыты:,шикізат базасына айналды
Индустрияландыру дегеніміз не?,Халық шаруашылығының барлық салаларын машина техникасымен жарақтандыру инфраструктураның дамуымен жәңе индустрияланған халықтың пайда болуымен жүзеге асуы 
Индустрияландыру жылдары басым дамыған өнеркәсіп саласы?,машина жасау өнеркәсібі 
Индустрияландыру жылдары білікті жұмысшы кадрлар инженер техник мамандар әкелінді?,"Ресей, Украинадан"
Индустрияландыру жылдары инженер техник қызметкерлер әкелінді: ,"Ресей, Украинадан "
"Индустрияландыру жылдары Қазақстанға жұмысшылар,инженерлер мен техниктерді әкелді:",РКФСР мен Украинадан 
Индустрияландыру жылдары Қазақстанда қарқынды жүргізілді: ,шикізат көздерін игеру 
Индустрияландыру жылдары салынған кәсіпорындар:,"Шымкент қорғасын зауыты, Балқаш мыс балқыт зауыты,Лениногор полиметалл комбинаты "
Индустрияландыру жылдарында қазақ өлкесін басқарды: ,Ф Голощекин
Индустрияландыру жылдарында Қазақстанда негізінен қарқынды жүргізілді: ,шикізат көздерін игеру 
"Индустрияландыру жылдарында Қазақстанда салынған ""Екінші Баку"" аталған жаңа мұнай базасы?",Ембі
Индустрияландыру жылдарында Қаныш Сәтпаевтың сіңірген еңбегі: ,Жезқазған ауданындағы мыс кенін зерттеді 
Индустрияландыру жылдарында қудаланған коғам қайраткерлері: ,"С Сәдуақасов, Ж Мыңбаев"
Индустрияландыру кезінде еңбектің өнімділігін максималды көбейтуге ұмтылған жұмысшылар қозғалысы?,"""Стахановшылар"" "
Индустрияландыру кезінде Қазақстанда академик Губкин басқарған экспедиция зерттеді?,Орал-Ембі мұнайын 
Индустрияландыру кезінде Қазақстанды басқарған бірінші хатшы: ,Голощекин 
Индустрияландыру кезінде Қарағанды көмір бассейнін қамқорлыққа алған кеншілер?,Донбасс кеншілері 
Индустрияландыру кезінде құрылған мұнай базасы?,Ембі
Индустрияландыру кезінде Орал-Ембі мұнайлы ауданын зерттеген академик: ,И М Губкин 
"Индустрияландыру кезінде Ф И Голощекиннің «Кіші Қазан» бағытына қарсы шығып, өз ұсынысын білдірген қоғам қайраткері: ",С Сәдуақасов 
"Индустрияландыру кезінде Ф И Голощекиннің Кіші Қазан бағытына қарсы шығып, өз ұсынысын білдірген қоғам қайраткері:",С Сәдуақасов
Индустрияландыру Қазақстанда неден басталды?,қазба байлықтарды зерттеуден 
Индустрияландыру қарсаңында Қазақстан экономикасында үлесі басым болған сала: ,Ауыл шаруашылық
Индустрияландыру дегеніміз?,Халық шаруашылығының барлық саласын машина техникасымен жарақтандыру инфраструктураның дамуы және индустрияланған халықтың пайда болуымен жүзеге асуы 
Индустрияландыру І бесжылдықтары ,1928 -1932 жылдары 
"Индустрияландыруға байланысты "" Голощекин жолдас! белгіленген саясат негізінен алғанда бірден-бір дұрыс саясат деп ойлаймын"", –деп жауап қайтарған?",И Сталин 
Индустрияландыруға дейін Қазақстанда үлесі басым болған сала: ,ауыл шаруашылығы 
Индустрияландыруды жүзеге асыруда қолданылған әдіс: ,Әміршіл-әкімшіл жүйеде басқару 
Индустрияландыруды жүргізуде Ф Голощекиннің саясатына қарсы оппозициясы (қарсыласы) басшыларының бірі:,С Сәдуақасов 
Индустрияландырудың алдындағы И М Губкин экспедициясының зерттеу объектісі ?,Орал- Ембі ауданы 
Индустрияландырудың қарсаңында Қазақстанда академик Губкиннің басшылығындағы экспедиция нені зерттеді? ,Орал-Ембі мұнай ауданын 
Индустрияландырудың қорытындысы : ,Өнеркәсіп салалары алдыңғы шепке өтті 
Интервенция мен азамат соғысы жылдар: ,1918- 1920 жж 
Интернационалды» қазақ тіліне аударған белгілі ақын: ,Ж Аймауытов
Иран деректері бойынша қарақытай билеушілері қалай аталды? ,Горхан 
Иран жазбалары сақты атайды?,«Жүйрік атты турлар» 
Иран жазбаларындағы «сақ» сөзінің мағынасы:,Жүйрік атты турлар 
"Иран, Ауғаныстанға көшіп кеткендер?",Маңғыстау мен Ойылдан 
Иса Байзақовтың шығармасы?,"""Құралай сұлу"""
Исатай Ақбұлақ деген жердегі ақырғы шайқаста қайтыс болды?,1838 ж 
Исатай әскерімен жазалаушы отряд арасында Тастөбе жерінде шайқас өтті:,1837 ж қарашада 
Исатай бастаған көтеріліс жеңілді?,Ақбұлақ шайқасында
Исатай бастаған көтеріліс қай жердегі шайқаста толығымен жеңілді? , Ақбұлақ шайқасында 
Исатай бастаған көтерілісшілердің жалпы саны екі мыңға жеткен уақыт:,"1837 жыл, қазан "
Исатай көтерілісі бойынша сот жазалау ісін басқарған ?,Гекке 
Исатай көтерілісін тездетіп басуға әсер еткен жағдай: ,Кенесары қозғалысының Кіші жүзді шарпуы
