Question,A,B,C,D,E
12. Дополните предложение в Past Indefinite Passive:  The theatre ... built in 1970. ,A) is,B) was,C) are,D) were,E) be
13. Определите функцию инфинитива в следующем предложении: To smoke is bad for health.  ,A) сказуемое,B) определение,C) дополнение,D) подлежащее ,E) обстоятельство
14. Выберите правильный ответ. The Scottish lake in which there is supposed to be a monster is … ,A) Lake Huron,B) Lake Michigan,C) Loch Ness,D) Lake Superior,E) Lake Erie
15. Выберите фразовый глагол со значением «Заботиться»: ,A) To look in,B) Look out,C) To look before,D) To look up,E) To look after
16. Выберите определение к выражению to pay attention: ,A) To go in for sport.,B) To check up a control work.,C) To listen to somebody without interrupting.,D) To give somebody a book. ,E) To play football. 
17. Дайте определение слову hurry: ,A) To be late.,B) To catch a train.,C) To do something very quickly.,D) To play with friends.,E) To go to the cinema with one’s friends. 
18. Выберите лишнее слово в данной группе слов: ,A) Brother.,B) Mug. ,C) Wife.,D) Daughter.,E) Son. 
"19. Закончите фразеологизм: Hear …, speak … Слушай много, говори мало. ","A) Much, little.","B) More, more.","C) Many, much.","D) All the time, never.","E) Little, much. "
"20. Образуйте прилагательное с противоположным значением от слова ""definite"":  ",A) Ildefinite. ,B) Undefinite. ,C) Indefinite. ,D) Imdefinite. ,E) Redefinite. 
21. Выберите правильно построенное предложение: ,A) They knew that they would manage somehow.,B) They knew that they would managed somehow.,C) They knew that they will manage somehow.,D) They knew that they wouldn’t managed somehow.,E) They knew that they should managed somehow. 
22. Поставьте предложение в отрицательную форму: Karen used to go swimming every day. ,A) Karen used to didn’t go swimming every day.,B) Karen don’t used to go swimming every day.,C) Karen use not to go swimming every day.,D) Karen didn’t use to go swimming every day.,E) Karen doesn’t used to go swimming every day. 
23. Выделенное слово является Participle 1 в предложении: ,A) The book is very interesting.,B) She ate her supper watching a film on TV.,C) That morning was clear and sunny.,D) I saw a bookshop near the turning.,E) I saw a new building in the street. 
"24. Прочитайте текст, выберите правильный ответ на вопрос: A very rich man asked a famous artist to draw something for him in his album. The artist did so, and asked for one hundred dollars. “Why!” cried the rich man. “It took you only five minutes to do it!” “Yes,” answered the artist. “But it took me twenty years to learn how to do it in five minutes.” Why did the famous artist ask for money for his work? ",A) It had taken him twenty years to draw money.,B) It had taken him twenty minutes to learn how to ask for money.,C) It had taken him twenty years to learn how to draw.,D) It had taken him five minutes to learn how to do albums.,E) It took him five minutes to learn how to draw. 
"25. Образуйте новое слово “ победоносный “, употребив верный суффикс : ",A) victorive,B) victoriful,C) victoral,D) victoriable ,E) victoriuos 
26. Дополните предложение: I think they know very (мало) English songs. ,A) few,B) a little,C) little,D) some,E) any
27. Найдите правильный вариант глагола: … you often … your brother these days?  ,A) Does . . . see ,B) Is . . . seen,C) Has . . . seen,D) Are . . . seeing,E) Do . . . see
28. Найдите правильный вариант глагола. They stood under the shelter because it … . ,A) was raining,B) rains,C) have been raining,D) rained,E) has rained 
29. Выберите верный модальный глагол: He … go to the dentist because he has toothache. ,A) Mustn’t,B) Should,C) Ought,D) Was able to,E) Have
"30. Переведите: Придя домой, он сразу позвонил Джейн. ","A) Having come home, he called Jane immediately","B) Have come home, he called Jane immediately","C) Having coming home, he called Jane immediately","D) Coming home, he called Jane immediately","E) Come home, he called Jane immediately"
" 1. Выберите слово, сходное по значению со словом quiet. ",A) clear.,B) special.,C) calm.,D) hard.,E) strange. 
 2. Выберите правильный вариант артиклей. … White House is … home of …  president. ,"A) The, the, the.","B) The, the, -.","C) -, the, -.","D) -, the, a.","E) A, an, -. "
 3. Выберите существительное во множественном числе. ,A) Knivs.,B) Knivies,C) Knives.,D) Knifes.,E) Knifs. 
 4. Поставьте глагол в предложении в Past Simple Tense. He … glad to see his friends’ victory in a football game last week. ,A) is.,B) was.,C) am.,D) are.,E) were. 
 5. Дополните предложение: What … you going to be when you leave school? ,A) is,B) am,C) was,D) were,E) are 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Keep,B) Keel    ,C) Kale     ,D) Knight   ,E) Keen   
" 7. Найдите глагол, образованный при помощи префиксa: ",A) communicate,B) lighten ,C) misdo,D) characterise ,E) invite
 8. Выберите верное местоимение: The music was so loud that I had to shout to make … . ,A) ourselves,B) himself,C) herself,D) myself,E) itself 
 9. Найдите правильное местоимение: They believed … it was true. ,A) Which.,B) What.,C) Who.,D) Whose.,E) That. 
10. Дополните предложение существительным в притяжательном падеже Do you know my…daughter? ,A) Uncle ,B) Uncles’,C) Uncle’s,D) Uncles,E) Uncles’s
11. Выберите правильный вариант глагола:  Mary … just …fresh newspaper to her father. ,A) have … bring,B) have …brought,C) has … bring,D) have … brings,E) has … brought 
12. Выберите правильный вариант перевода на русский язык: Во дворе много деревьев. ,A) There were no trees in the yard.,B) There are no trees in the yard.,C) There are many trees in the yard. ,D) Many trees were in the yard. ,E) There many trees in the yard. 
13. Определите функцию инфинитива в следующем предложении: I was the first to come. ,A) подлежащее,B) определение ,C) обстоятельство,D) дополнение ,E) сказуемое 
14. Выберите правильный вариант ответа:  What is the national emblem of England? ,A) rose,B) maple leaf,C) violet,D) tulip,E) shamrock
15. Найдите антоним к слову: “Difficult” ,A) Hard.,B) Easy.,C) Heavy.,D) Calm.,E) Clear. 
16. Выберите фразовый глагол со значением «Записывать»: ,A) To put down,B) To put up with,C) To put on,D) To put out,E) To put off
17. Найдите предложение с фразовым глаголом:  ,A) I don’t like coffee.,B) The girl looks after her little sister.,C) What do you usually wear to school?,D) He couldn’t play the guitar.,E) The family breakfast is usually at 9 o’clock. 
18. Выберите обобщающее слово для данной группы слов: ,A) Sweet.,B) Department.,C) Store.,D) Price.,E) Shopping. 
19. Дайте определение слову expensive: ,A) Costing a lot of money.,B) A very rich person.,C) A good mark at school.,D) A fine weather.,E) A beautiful thing. 
20. Поставьте глагол в предложении в Past Continuous Tense: The children (to sleep) when their parents came home. ,A) were sleep.,B) was sleep.,C) was sleeping.,D) were sleeping.,E) were to sleeping. 
21. Дополните предложение в Present Indefinite Passive:  The children ... by excellent teachers in our school.  ,A) to be taught,B) were teaching,C) was taught,D) is teached,E) are taught
"22. Вставьте необходимое сочетание с модальным глаголом: You look tired. Yes, I ... last night. ",A) can sleep,B) can not sleep,C) can’t sleep,D) couldn’t sleep,E) could sleep
23. Задайте вопрос к предложению: They used to live in the same street.  ,A) Do they used to live in the same street? ,B) Does they used to live in the same street? ,C) Did they used to live in the same street?,D) Did they use to live in the same street? ,E) Would they used to live in the same street? 
"24. Прочитайте текст и выполните задание после текста: Mr. Nelson wanted to be elected sheriff in a New Hampshire county. He went from farm to farm asking people to vote for him. Mrs. Marrow saw him coming up one day and reached for the broom. Get off, you good-for-nothing loafer, she shouted. But Mrs. Marrow, said Nelson. I have just come to ask you if you’ll vote for me for sheriff. Sheriff! shouted Mrs. Marrow. Your place is in the lockup, not in the sheriff’s office. You are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. Get out of here before I take this broom to you. Nelson decided to go. Before climbing back into the car,he took out his notebook and wrote, after the name of Marrow, one word: Doubtful. Выберите заголовок к тексту: ",A) How to Become a President.,B) The Last Elections. ,C) Mrs. Marrow Is a Sheriff.,D) He Wants to Be a Sheriff. ,E) Mr. Nelson and a Scoundrel. 
25. Подберите подходящее по смыслу слово:  I… go to the cinema with my brother  ,A) slowly,B) happy,C) quickly,D) early,E) often
26. Выберите правильный вариант местоимения: … is giving our secret information. The enemy knows about our plans. ,A) Nothing,B) Somebody,C) Anybody,D) Something,E) Nobody 
27. Найдите правильный вариант глагола: When … married? ,A) does you get,B) have you been getting,C) did you get,D) do you get,E) have you got
28. Выберите правильный вариант глаголов: Dauren hoped they … before anybody started to look for them. ,A) should come,B) would have come,C) would come,D) would came,E) will have come 
29. Выберите предложение с Герундием: ,A) Travelling is very interesting in any season.,B) He is travelling now.,C) My family are travelling now.,D) She likes books about travelling expeditions.,E) She is going to travel to Africa. 
30. Выберите верное причастие: ... Etiquette ,A) Spoken.,B) Speaked.,C) Spokening.,D) Spoking.,E) Speaking. 
 1. Синонимом слова “Fellow” является: ,A) Worker.,B) Comrade.,C) Brother.,D) Enemy.,E) Driver. 
 2. Выберите правильное слово Where is … cat? ,A) some,B) a,C) an,D) –,E) the
 3. Дополните предложение: The little … face was happy. ,A) girl,B) girls’s,C) girl’s,D) girls,E) girls’es 
 4. Выберите правильный вариант предложения в Past Simple Tense. ,A) Pupils run and jump at P.T. Lessons.,B) My friend has just come home.,C) Ahmed phoned me yesterday.,D) My birthday will be on Sunday.,E) We are reading now. 
 5. Дополните предложение: Where … you going when you met your friend in the street yesterday? ,A) were,B) been,C) are,D) is,E) was 
 6. Выберите слово с ІІI типом слога ,A) Barn,B) Base,C) Close,D) Rose,E) Same
 7. Выберите правильный вариант переводa слова: Несчастный ,A) Inhappy.,B) Happy.,C) Imhappy.,D) Unhappy.,E) Rehappy. 
 8. Выберите верное местоимение: There is … milk in the bottle. ,A) some,B) any,C) anybody,D) something,E) anything 
 9. Выберите правильный вариант множественного числа существительного: Bench ,A) Benchies.,B) Benches.,C) Benchess.,D) Bench.,E) Benchs. 
10. Найдите правильный вариант глагола:  What … your parents’ address last year ? ,A) am,B) was,C) are,D) is,E) were 
11. Выберите правильное отрицательное предложение: You must forget about it. ,A) You haven’t to forget about it.,B) You shouldn’t forget about it.,C) You can’t forget about it.,D) You needn’t forget about it.,E) You mustn’t forget about it. 
12. Выберите правильный вариант сказуемого: There … no shops in this part of the town. ,A) be,B) am,C) is,D) was,E) are
13. Выберите правильный вариант.  A child stopped … . ,A) Cried.,B) Cry.,C) Cry to.,D) Crying.,E) Cries. 
14. Выберите правильный вариант ответа.  What theatre was organized by W. Shakespeare? ,A) Green Theatre.,B) Globe Theatre.,C) Old Vic Theatre.,D) Royal Theatre.,E) Open Theatre. 
15. Выберите верное окончание для словосочетания: A bottle of... ,A) honey.,B) butter.,C) oil.,D) cream.,E) sugar. 
16. Выберите нужный фразовый глагол. I … the bus at Furmonov street. ,A) Get on.,B) Get over.,C) Get tired.,D) Get up.,E) Get sick. 
17. “Безвредный” Найдите правильный перевод: ,A) Boundless,B) Bottomless,C) Endless,D) Harmless,E) Homeless
18. Закончите предложение: To come back means to ... ,A) go on foot.,B) come in time.,C) return.,D) go by bus.,E) come late. 
19. Закончите пословицу:  Actions speak louder... ,A) ... you speak.,B) ... than words.,C) ... than one.,D) ... than wealth.,E) ... make long friends. 
20. Найдите правильный вариант перевода: Он не идет сейчас домой. ,A) He’ll go home soon.  ,B) He is going  home now.,C) He isn’t going to go home.,D) He is going to go home. ,E) He isn’t going home now. 
21. Найдите правильный вариант глагола:   Peter just … me a new job. ,A) was offered,B) was offer,C) have offered,D) has offered,E) offers
22. Поставьте глагол в предложении в Present Indefinite Passive:  The boy (to say) to come to school in time. ,A) is to be said,B) was saying,C) is said,D) is saying,E) was said
23. Выберите предложение с Past Participle: ,A) The house built in 1789 was the oldest building in the town.,B) The man standing at the door helped the old lady.,C) It was snowing the whole day.,D) He is reading the book at this moment.,E) Seeing that he was late he took the taxi. 
"24. Прочитайте текст и выполните задание после текста: For the people who live along the banks of the St. Lawrence River the arrival of the ice-breakers is a very important event each year. When the ice-breakers arrive everyone knows that spring will soon come and that long Canadian winter is almost over. The slow movement of the ice-breaking ships up the river to Montreal is reported over the radio and in the newspapers. Whole families go on Sunday excursions to the river bank where they spend hours watching the ship at work.    In March many ships gather in the Gulf of St. Lawrence, waiting for the signal telling them that the way to Montreal is free. As soon as the signal is given, a race begins for the port. The winning ship is given a great welcome, and the captain receives a special prize. Закончите предложение: The arrival of the ice-breakers means that ... ",A) ... you can go on an excursion to the river bank.,B) ... it is reported over the radio.,C) ... people can walk along the river.,D) ... the captains will receive good prizes.,E) ... the long winter is almost over. 
25. Образуйте прилагательное при помощи суффикса: Cloud ,A) ing,B) ly,C) y,D) ful,E) able
"26. Выберите верные местоимения. She saw me at school yesterday, but …was too busy to talk with … . ","A) You, he.","B) We, their. ","C) Him, its.","D) I, her.      ","E) They, we. "
27. Выберите правильный вариант вопросительного местоимения: … of you speaks English? ,A) Which.,B) Whom.,C) When.,D) What.,E) Whose. 
28. Выберите правильный вариант глаголов: I was sure that they … (to arrive) in the evening. ,A) would be arriving,B) would arrive,C) should arrive,D) should have arrived,E) would have arrived 
29. Задайте специльный вопрос к предложению: I used to read a lot of books. ,A) Do I used to read a lot of books?,B) Did I used read a lot of books?,C) Why do I used to read a lot of books?,D) When did I use to read a lot of books?,E) Did I used to read a lot of books? 
30. Выберите правильный вариант употребления инфинитива: ,A) My son to be too young to marry.,B) My son was too young to married.,C) My son was too young to being marry.,D) My son is too young to have marrying.,E) My son is too young to marry. 
" 1. Выбери слово, противоположное по смыслу слову “Enter”: ",A) Arrive.,B) Come in.,C) Insert.,D) Able.,E) Leave. 
 2. Выберите правильный вариант артиклей. They placed … box on … table. ,"A) -, the.","B) An, a.","C) The, the.","D) -, -.","E) The, an. "
 3. Выберите притяжательную форму существительного в единственном числе. ,A) girls’ stamps.,B) farmers’ department.,C) shop-assistants’ duties.,D) children’s clothes.,E) grandmother’s bag. 
 4. Дополните предложение: The child was glad. There … many animals in the Zoo. ,A) is,B) are,C) were,D) to be,E) was 
 5. Выберите правильный вариант сказуемого. They … to visit Astana. ,A) Is going.,B) Am going.,C) Was going.,D) Be going.,E) Are going. 
 6. Выберите правильный вариант перевода слова: Неважный ,A) Inimportant.,B) Disimportant.,C) Unimportant.,D) Important.,E) Reimportant. 
 7. Выберите верное местоимение. There are not … flowers in the vase. ,A) Something.,B) Anything.,C) Some.,D) Any.,E) Nothing. 
 8. Выберите неисчисляемoе существительнoе: ,A) Rule.,B) Water.,C) Road.,D) Army.,E) Hero. 
 9. Выберите правильное отрицательное предложение: You must forget about it. ,A) You haven’t to forget about it.,B) You can’t forget about it.,C) You needn’t forget about it.,D) You mustn’t forget about it.,E) You shouldn’t forget about it. 
10. Выберите предложение с герундием: ,A) I enjoyed watching TV.,B) Having watched TV we went for a walk.,C) Yesterday Mr. Green watched TV in the evening.,D) We have been watching TV since morning.,E) Nick is watching TV now. 
11. Определите функцию инфинитива в следующем предложении: Arman was the first to recover.  ,A) обстоятельство,B) определение,C) дополнение,D) сказуемое,E) подлежащее
12. Выберите верное причастие: The ... day ,A) Followeding.,B) Following.,C) Followeded.,D) Followning.,E) Followned. 
"13. Прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: Balzac, the famous French writer, was a man of great talent. But he himself was proud of his ability to tell a person’s character by his or her handwriting. One day a woman brought him a young boy’s exercise-book. She said she wanted to know what Balzac thought of the boy’s character. Balzac studied the boy’s handwriting carefully. Then he said that the boy was a lazy fellow. “It’s very strange,” said the woman smiling. “This is a page from your own exercise-book, which you used when you were a boy.” Balzac … . ",A) Was an engineer.,B) Had an exercise-book.,C) Was going by train to France.,D) Was a man of great talent.,E) Was a famous English writer. 
14. Закончите предложение: Sherwood Forest is famous for legendary … . ,A) Robin Hood.,B) Mary Poppins.,C) Harry Potter.,D) Winnie-the-Pooh.,E) Sleeping Beauty. 
15. Выберите слово с третьим типом слога:  ,A) Visit.,B) Observe.,C) Pupil.,D) Place.,E) More. 
16. Синонимом слова “Discover” является: ,A) Close ,B) Find,C) Take,D) Meet,E) Open
17. Выберите верное окончание для словосочетания:  A loaf of ... ,A) lemonade.,B) tea.,C) bacon.,D) bread.,E) flour. 
18. Выберите нужный фразовый глагол. We like to walk and … the stars at night. ,A) Look out on.,B) Look down upon.,C) Look out.,D) Look up.,E) Look at. 
19. Дополните предложение: He ... his brother’s example. ,A) appearance,B) suffers,C) learn,D) follows,E) advice
20. Закончите пословицу:  Actions speak louder... ,A) ... than words.,B) ... you speak.,C) ... make long friends.,D) ... than wealth.,E) ... than one. 
21. Выберите верный вариант местоимений: How long does …  take … to go to the nearest shop? ,A) She / you.,B) He / you.,C) It / you.,D) It / your.,E) She / your. 
22. Выберите глагол в форме Past Continuous Active: ,A) Was work.,B) Was being worked.,C) Was works.,D) Was worked.,E) Was working. 
23. Выберите правильный вспомогательный глагол в предложении: I ... not heard this news. ,A) have,B) was,C) did,D) do,E) does
24. Выберите правильную форму глагола в страдательном залоге: Last week I (to ask) to write an article. ,A) Was ask.,B) Was asked.,C) Am asked.,D) Has asked.,E) Is asked. 
25. Подберите нужное по смыслу прилагательное или наречие:  He wrote a dictation very … ,A) badly,B) much,C) hardly,D) bad,E) lately
26. Найдите правильное местоимение: In Kazakhstan there is only one lake … I haven’t visited yet. ,A) Whose.,B) What.,C) Which.,D) Whom.,E) Who. 
27. Выберите правильную форму глагола “to be”: Zulfiya … to have made a report on psychology previous Thursday.  ,A) was,B) isn’t,C) is,D) weren’t,E) were
28. Глагол to do употреблен в качестве вспомогательного в предложении: ,A) What are you doing?,B) He never does his morning exercises.,C) I’ve done all you have asked me to do.,D) Who did the shoppings in your family?,E) Did you know how to drive a car? 
29. Выберите правильный вариант: He answered he … when he … the answer. ,A) phoned / knew,B) will phone / knows,C) would phone / knew,D) would phone / would know,E) will phone / would know
30. Задайте вопрос к предложению: Liz has got short hair now but it used to be very long. ,A) Do her hair used to be very long?,B) If her hair used to be very long?,C) Did her hair used to be very long?,D) Did her hair use to be very long?,E) Does her hair used to be very long? 
" 1. Выберите слово, противоположное по значению: long. ",A) Sad.,B) Proud.,C) Low.,D) Short.,E) High. 
 2. Выберите правильный вариант артиклей. … potatoes are grown everywhere in … British Isles. ,"A) -, the.","B) A, an.","C) An, the.","D) A, the.","E) -, a. "
 3. Выберите неисчисляемое существительное: ,A) Ground.,B) Garden.,C) Game.,D) Gymnasium.,E) Giraffe. 
 4. Поставьте глагол в предложении в Present Simple Tense. … you as old as your friend? ,A) is.,B) was.,C) am.,D) were.,E) are. 
 5. Дополните предложение: Look! There … a book on the table. ,A) are,B) was,C) were,D) am,E) is 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Glutton  ,B) Geography  ,C) Glassy,D) Glue  ,E) Globe  
" 7. Выберите производное слово от слова ""help"": ",A) Helpy.,B) Helply.,C) Helpless.,D) Imhelp.,E) Helpiation. 
 8. Выберите верное местоимение: Mary didn’t know about it. … was at home. ,A) She.,B) They.,C) Me.,D) You.,E) Him. 
 9. Выберите верное местоимение. There are … interesting toys on the table. ,A) Nothing.,B) Any.,C) Some.,D) Anything.,E) Something. 
10. Выберите правильный вариант: I thought … there was nothing to worry about. ,A) which,B) what,C) whom,D) that,E) whose
11. Выберите притяжательную форму существительного в единственном числе. ,A) Neighbours’,B) Aunt’s,C) Dogs’,D) Plants’,E) Planes’
12. Выберите правильный вариант формы глагола: He was looking forward to … to Astana to business-trip.    ,A) is sending,B) have send ,C) being sent,D) sending,E) sent
13. Выберите предложение с Participle I: ,A) Yesterday they went to the park.,B) Going along the street I met Mary.,C) Nick likes going to the skating rink.,D) We have gone to Almaty.,E) Our parents want to go to the theatre. 
14. Выберите подходящее слово.  The battle at Trafalgar was a … victory of the British nation. ,A) triumphant,B) erect,C) small ,D) little,E) privilege
15. Выберите фразовый глагол со значением «Собираться сделать что-либо»: ,A) To be away,B) To be going to do something,C) To be back,D) To be off,E) To be in
16. Переведите “Заботиться о… ”: ,A) To like,B) To take in,C) To take care of,D) To take out.,E) To defend
17. Образуйте новое слово от глагола “write” с помощью следующих приставок. ,A) Un.,B) Im.,C) Ir.,D) Re.,E) In. 
18. Выберите глагол в форме Present Perfect Active: ,A) Have been waiting.,B) Had read.,C) Was cought.,D) Has finished.,E) Were having. 
19. Выберите правильный вариант: We were told that the train … five minutes later. ,A) would be arrivе,B) had been arriving,C) would arrive,D) will arrive,E) has arrived
20. Выберите правильный вопрос: You shouldn’t close the window  ,A) Will I close the window?,B) Should I close the window?,C) Could I close the window?,D) Need I close the window?,E) May I close the window? 
"21. Найдите предложение, имеющее значение будущего времени: ",A) I’m going home now.,B) He is playing chess now. ,C) What is he going to do?    ,D) They aren’t doing homework now.,E) What are they doing? 
"22. Закончите предложение : When I was younger, I … play tennis quite well. ",A) To get used to,B) To be used to,C) Used,D) Am used to,E) Used to
23. Вставьте глагол в соответствующей форме:  Seeing Nick enter the room I rose (greet) him. ,A) to greeted,B) to greeting,C) greet,D) to greet,E) greeted
"24. Прочитайте текст и выполните задание после текста: London is famous as a city where businessmen carry umbrellas and wear bowler hats. But do you know how the umbrella came to England?    The word umbrella is Italian, meaning a little shade. The Italians did not invent the umbrella, however, it was used many centuries ago in the East as a protection against the sun. In England it was used more as a protection against the rain and the first man to appear in the streets of London with an umbrella more than a hundred and fifty years ago was Jonas Hanway. But the first umbrella user did not have an easy time: he got into trouble with coachmen. They did not want people to use umbrellas in rainy weather, they wanted them to ride in their coaches.    But the Londoners were so grateful to Jonas Hanway that when he died they erected a monument to his memory in Westminster Abbey, where it may still be seen to this days.  Ответьте на вопрос: How did the Englishmen use the umbrella? ",A) They used the umbrella as a little shade.,B) They used the umbrella in hot weather.,C) They used the umbrella to ride a coach.,D) They used the umbrella as a protection against the sun.,E) They used the umbrella as a protection against the rain. 
25. Выберите антоним к подчеркнутому слову: The damp climate of this country made my cough very strong.   ,A) moist,B) wet,C) raw,D) humid,E) dry
26. Выразите одним словом: You send them to your relatives on holidays. ,A) Postcards.,B) Bags.,C) Sorrows.,D) Clouds.,E) Children. 
"27. Выберите правильный английский эквивалент данной пословицы: Сколько голов, столько умов. ","A) So many men, so many minds.",B) A good beginning makes a good ending.,"C) East or West, home is best.",D) As you make your bed so you must lie on it.,"E) No pains, no gains. "
28. Найдите правильный вариант глагола: Clothes … very different in the year 2100. ,A) are,B) will be,C) is,D) are going to,E) is going to be
29. Найдите правильный вариант глагола. When the film started the children … in the living room. ,A) Played ,B) Play,C) Has played,D) Had playing,E) Were playing
30. Выберите правильную форму глагола в страдательном залоге: Her book (to finish) next month. ,A) Was finished.,B) Be finished.,C) Were finished.,D) Will be finished.,E) Is finished. 
 1. Антонимом слова “Dream” является: ,A) Possibility.,B) Ability.,C) Reality.,D) Success.,E) Luck. 
 2. Дополните предложение: … year ago he was in … 10-th form. ,A)  - | the,B) The | the,C) A | the,D) A | a,E) A | - 
 3. Существительное во множественном числе. ,A) watch,B) glases,C) torch,D) torches,E) watchis 
 4. Поставьте глагол в предложении в Present Simple Tense. New Year’s Day … the time for making New Year resolutions. ,A) is. ,B) am.,C) was.,D) are. ,E) were. 
 5. Выберите правильную  форму глагола . … there any snakes in the forest? ,A) wasn`t,B) is,C) are,D) isn`t,E) - 
" 6. Выберите слово, в котором выделенная буква читается отлично от других слов: ",A) Umbrella.,B) Brush.,C) Butter.,D) Bus.,E) Bush. 
 7. Выберите правильный вариант перевода слова: Невозможный ,A) Unpossible.,B) Possible.,C) Inpossible.,D) Dispossible.,E) Impossible. 
 8. Образуйте сложное слово: text                   ,A) room ,B) yard,C) day ,D) book,E) paper
 9. Выберите верное местоимение: I love … very much! ,A) She.,B) Mines.,C) Him.,D) He.,E) Hers. 
10. Выберите правильный вариант местоимения: Have you got … new books? ,A) Nothing.,B) Something.,C) None.,D) Any.,E) Anything. 
11. Найдите правильное местоимение: He published the book … nobody ever read. ,A) Whose.,B) Which.,C) Whom.,D) Who.,E) What. 
12. Вставьте пропущенные слова: The … resources are quite enough to meet the … material needs. ,"A) Earth’s, people’s","B) Earth’s, peoples","C) Earths’, peoples’","D) Earths, people’s","E) Earths, peoples "
13. Выберите правильный ответ: Is Tom going to play on the bridge? ,"A) Yes, it is.","B) Yes, he is.","C) No, she isn’t.","D) Yes, he will.","E) Yes, she is. "
14. Закончите предложение:  The national emblem of Scotland is ... ,A) the rose.,B) the helmet.,C) the daffodil.,D) the red hand.,E) the thistle. 
15. Найдите синоним к слову: “To work” ,A) To write.,B) To run.,C) To build.,D) To read.,E) To labour. 
16. Найдите предложение с фразовым глаголом:  ,A) He is the best pupil in his class.,B) Children must help their parents.,C) He took me to the cinema with him yesterday.,D) She doesn’t like tea with milk.,"E) Take off your coat, it’s very warm in the street. "
17. Переведите “Быть расположенным ”  ,A) To be lucky,B) To be separated,C) To be upset,D) To consist of,E) To be situated
18. Дополните предложение: Not to catch the train means to ... it. ,A) like,B) have,C) miss,D) sell,E) buy
19. Найдите правильный вариант перевода: She shouldn’t come. ,A) Ей можно прийти.,B) Ей не следует приходить.,C) Ей пришлось прийти.,D) Она не могла прийти.,E) Она должна прийти. 
20. Выберите верный вариант отрицания к данному предложению: He used to do everything his mother said. ,A) He not used to do everything his mother said.,B) He used to not do everything his mother said.,C) He didn’t used to do everything his mother said.,D) He didn’t use to do everything his mother said.,E) He didn’t use do everything his mother said. 
21. Вставьте в предложение глагол в соответствующей форме: He is very good at (learn) languages.  ,A) learning,B) being learnt,C) to learn,D) learn,E) have learnt
22. Вставьте глагол в соответствующей форме:  Tell her what you would like her (do). ,A) to do.,B) to have do.,C) do.,D) to be doing.,E) doing. 
"23. Выберите предложение, в котором причастие употреблено в функции обстоятельства: ",A) While reading a book she was eating sweets.,B) They saw a flying bird.,C) I heard her speaking on the phone.,D) The boy crying in the street is my friend.,E) The boy reading a book is my brother. 
"24. Прочитайте текст и ответьте на вопрос после текста: After the War of Independence the USA needed a capital city. It was difficult to choose it because different cities in different parts of the country wanted to be the nation’s capital. In the end it was decided to build a new city. In 1791 George Washington, the first president, chose the place where the city now stands. He thought it was a good place because the Potomac River was large enough for ships to come as far as the site of the city. The land round the city was called the District of Columbia, after Christopher Columbus; and the city on it was named Washington, in honour of the country’s first president.   Why did George Washington choose this place for the city? ",A) Because the war of Independence was over.,B) Because it was the district of Columbia.,C) Because Christopher Columbus discovered this place.,D) Because it was good for ships to come to the city.,E) Because he was the first president. 
25. Закончите фразеологизм: To … oneself together. Взять себя в руки. ,A) Put.,B) Get.,C) Take.,D) Pull.,E) Give. 
26. Найдите правильный вариант глагола: The biggest event in Tom’s life … by chance. ,A) happened,B) has happen,C) was happening,D) has been happening,E) happens
27. Найдите правильный вариант глагола. I woke up and found out that water … through the ceiling. ,A) has been pouring,B) was pouring,C) is pouring,D) poured,E) has poured
28. Найдите правильный вариант глагола:   I … him for ages. ,A) didn’t see,B) haven’t seen,C) hasn’t seen,D) don’t see,E) won’t see
29. Укажите правильный вариант сказуемого: He said he … the report by 8 o’clock. ,A) Will finish.,B) Would have finished.,C) Should have finished.,D) Will have finished.,E) Would had finished. 
30. Найдите правильный вариант глагола. At this very moment the suspect . . . by the police. ,A) was interviewed,B) has been interviewed,C) is being interviewed,D) is interviewed,E) had been interviewed
" 1. Выберите слово, противоположное по значению: young. ",A) Kind.,B) Happy. ,C) Clean.,D) Old.,E) Nice. 
 2. Выберите правильное слово Julia has got … orange. ,A) an,B) some,C) the,D) A,E) –
 3. Выберите правильное слово. It`s the … foot. ,A) of the dog’s,B) Doges’,C) of the dog,D) Dog’,E) dog’s 
 4. Дополните предложение: How are you? – I … all right. ,A) were,B) am,C) been,D) was,E) are 
 5. Выберите  подходящий английский эквивалент:. Я собираюсь быть дома в 8 часов вечера. ,A) I went to the shop yesterday.,B) I am going to be at home at 8 o’clock in the evening.,C) They have already gone home.,D) I am going to my desk now.,E) We’ll go to the meeting after classes. 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Glass   ,B) Glad  ,C) General ,D) Glitter,E) Glade   
 7. Выберите правильный вариант переводa слова: Неприятный ,A) Displeasant.,B) Mispleasant.,C) Pleasant.,D) Unpleasant.,E) Repleasant. 
 8. Образуйте существительное от глагола serve: ,A) Serve.,B) Serventy.,C) Servesation.,D) Servelity.,E) Servant. 
 9. Выберите правильный вариант местоимения в предложении: We live in Wales. ... parents live with ... . ,A) Our / they.,B) Ours / we.,C) Theirs / our.,D) Our / us.,E) Mine / me. 
"10. Дополните предложение, вставив нужное местоимение: They did not pick ... flowers. ",A) anything,B) somebody,C) no,D) nothing,E) any
