question,answer
 Жер – жерде даладағы дәстүр бойынша кімдердің өкілдерін хан сайлаған?, Ақсүйектердің.
 Палеолит дәуіріндегі адамдар тобы қандай қызмет атқарды?, Бірігіп қорғану.
Уланған немесе өртегіш жебелер қашан кеңінен пайдаланылады?, Мезолитпен
Сақ дәуіріндегі Іле өзені жағасындағы ең маңызды ескерткіштерінің бірі, Бесшатыр кесенесі
 X- дың басындағы Қидан мемлекетіндегінің атауы, Ляо империясы
 Орта ғасырларда халықаралық валютаға айналған византиялық алтын манетасы, Салид
 Қазақстан Республикасының республикалық күні, 25 қазан.
 Қазақ хандығының халық саны қай ханның тұсында миллион адамға жетті?, Қасымхан
 Адам шақпақ тасты үйкеу тәсілін меңгерген дәуір, Орта палеолит.
 Ерте палеолит дәуіріндегі Қазақстанда адамдардың мекендегендігін растайтын негізгі дәлел, Тұрақтар.
" Өзін жеңілмейтін, құдай санаған бірақ ақыры сақтардың қолынан қаза тапқан қарсы елінің патшасы", Кир.
 Қаракерей Қабанбайдың шын есімі?, Ерасыл
 Қазақстан республикасының туының авторы, Ш.Ниязбеков.
 Алғашқы қоғамдық еңбек бөлінісің қалыптасуына не себеп болды?, Мал шаруашылығы егіншілікпен бөлінуі.
 Андрондықтар түрлі аурулармен бақытсыздықтайтын сақтайтын қасиеті бар деп сенген зат, Бойтұмар.
 Ерте түрік феодалдық мемлекеті қалай аталады?, Қағандық.
 XVIII-ші ғасырда Қазақ хандығына қауіп төндірген қай мемлекет?, Жоңғар
 Тас дәуірінің ескерткіші обалы сай қай өңірінен табылды?, Орталық Қазақстан.
 Андронов мәдениетінің кезеңінде пайда болған Қостанай жеріндегі елді мекен, Архайым
 Қаратеңіздің солтүстігі мен Арал маңын мекендеген сақ тайпасы, Парадария
 Ұлттық Валюта – теңгеміздің айналымға енгізілген уақыты, 15 қараша 1993 жылы
 Батыс Түрік қағанатының Орталығы қай жерде болды?, Жетісуда.
 Алтын Орда мемлекетінің негізін қалаушы, Батый.
" Шоқанның досы, көрнекті орыс жазушысы", Достаевский
 Қазіргі Қазақстан жерін толықтай қамтыған хандық, Ақ Орда.
 Неолит дәуірінің қамтитын кезеңі, Б.з.д. 5-3 мыңжылдық
 Әмір Темірмен Тоқтамыс арасындағы соңғы шайқас қай жылы болды?, 1395 жылы.
 Шоплинг қай кезеңде жасалған?, Ерте палеолит
 Ғұн тайпалары қай тілде сөйледі?, Ежелгі түрік.
 Қазақстан қалаларында Исламның таралуына байланысты қай кезде мешіттер салына бастады?, X-XIII ғасырда
 Қазақ ұлтының өмір сүруінің өзі проблемаға айналған деп қазақтың зиялы азаматы, А. Байтұрсынов.
 Қазақ халқының көп ғасырлық құрылу процесімен этникалық территориясының анықтылуы қашан аяқталды?, XV-XVI ғасырда.
 Үйсіндер депломатиялық және туыстық қатынаста болған мемлекет, Қытай
 Орта Ежен хандығын үйсін руынан шыққан қандай би арқылы басқарған?, Майқы би.
 Қазақтың үш жүзінің біріккен әскер күштерін басқарған қолбасшы, Әбілқайыр хан.
 Уезд басшысын тағайындайтын басшы, Генерал Губернатор.
 1916 жылы Ұлт – азаттық көтерілістің Солтүстік – Батыстағы ірі орталығы, Торғай облысы.
 XIV ғасырдың ортасында XVI ғасырдың басында Қазақстанның Оңтүстік – Шығысында өмір сүрген мемлекет, Ақ Орда.
 Ұйғырлы мен дүнгендердің Қазақстанға қоныс аудару себебі, Цин үкіметінің қысым көрсетуі
 Исатай батырдың қайтыс болған жері, Ақбұлақ.
 XIX ғасырда теңізде жүзу ісін меңгеретін мектеп ашылған қала, Атырау.
 1905 жылы Успень кенішінде құрылған алғашқы жұмысшы ұйымы қалай деп аталды?, Орыс – қырғыз жұмысшыларының одағы.
 1920 жылы сайланған қазақ АКСР халық комиссарлар кеңесінің төрағасы, В.Радук – Зенкеевич.
 Қиыр Шығыстан көшірілген Корейлер қоныстандырылған облыстар, Қызылорда – Алматы.
 Ежелгі тас дәуіріндегі қарудың кең тараған түрі, Қолшапқы.
 Мезолит дәуірінде домалақ ұштары бар садақтары не үшін пайдаланды?, Терісі бағалы аңдарды аулау үшін.
 1791 жылы Кіші жүздің ханы болып сайланған кім?, Ералы хан.
 Исатай көтерілісін тездетіп басуға әсер ететін жағдай, Кенесары қозғалысының кіші жүзді шарпуы
Иран түріктердің қандай байланыстарына кедергі жасады?, Византия мен сауда байланыстарына
 Қола дәуірінде мекендеген тайпалардың қалдырған мәдениеті, Андронов.
 Жетісу жерінде қазір қандай облыс орналасқан?, Алматы.
 Қазақ хандығының құрылуы қай сұлтандар есімімен байланысты?, Жәнібек пен Керей.
 Жоңғар тағы мұрагерлерінің бірі Қытайдан жеңілі тауып Орта жүз ханы Абылайдан көмек сұраған?, Әмірсана.
 1847 жылы Ш Уәлиханов 12 жасында қайда оқуға түсті?, Сібір кадет корпусына
 XIV ғасырдың 70 – 80 жылдарында Әмір Темір қай мемлекеттің аумағына 10 шақты рет шабуыл жасады?, Ақ Орда мен Мағолстан
ЫАлтынсариннің Ырғыздағы жарқын істерінің бірі, Қазақ қыздарына мектепті ашуы
 Ежелгі адамның ойлау жүйесімен өндірістік қызметінің қалыптасқан дәуірі, Палеолит
 Бұйымдарды әшекейлеу үшін Оқа жүргізу дегеніміз:," Алтын жіптермен кестелеу, алтын жалату."
Қарахан мемлекеттігі Ұлыс билеушілерінің құқығы көп болғаны соншалықОлар:, Өз аттарынан теңге шығара алды.
"астан, сүйектен, мүйізден жасалған сыналар қай кезден бастап қолданыла бастады?", Ерте палеолит
Жамбыл облысындағы 5мыңға жуық тас құралдар табылған тұрақтар,"Бөріқазған,Шабақты"
Аттиланың шамамен өмир сүрген жылдары,400-453
Түрік қағанаты екіге бөлінеді,УІІғ басында
Ерте орта ғасырларда Қазақстанның оңтүстігі мен Жетісу өңірінде халықаралық сауданың дамуына ықпал етті,Ұлы Жібек жолы
Түріктердің жазба әдебиеті дүниеге келген уақыт,УІІғ
1368-1369ж Ұрыс хан өз атынан теңге соқтырған қала,Сығанақ
"Орталық,Солтүстік,Оңтүстік Қазақстан қыпшақ тайпалар одағы мен Оңтүстік-шығыс Қазақстан үйсіндер одағының бірігу нәтижесінде құрылған халық",Қазақ
Қожа Ахмет Иасауи кесенесінде залдың ортасында тұрған үлкен тайқазан жасалған жыл,1399
ХУғ 70жылдарында қазақ хандарының басып алған жерлері,Сырдария мен Қаратау өңірі
Орыс деректерінде Қасым ханның 1521ж қаза тапқаны туралы айтылған қала,Сарайшық
Орбұлақ шайқасында басшылық жасаған қазақ батырлары,"Қарасай,Ағынтай"
Абылай хан жоңғарлар тұтқынына түсті,1741ж
1870ж Маңғыстаудағы көтерілістің басшылары,"Тәжіұлы,Тіленбайұлы"
"""Сібір қазақтарының жарғысы"" бойынша Орта жүз аймақтарының әкімшілік бірлікке бөлінуі","Округ,ауыл,болыс"
1860ж Ресей үкіметі басып алған бекініс,Пішпек
"1884-98ж Шымкент,Ташкент,Әулиеата уездерінде құрылған орыс-қазақ қоныстарының саны",37
Суретші Хлудовтың шығармалары,"Көш ,Мал айдау"
1914ж Қазақстанға қоныстанған әр тілдес халықтардың санының бірден 211есеге артуының себебі,Ресейден қоныс аударған шаруалардың есебінен
КСРО өмір сүрген жылдар,1992-1991
"1975ж Алматыда шыққан ""Аз и Я"" кітабының авторы",Сүлейменов
Қола дәуіріне тән емес ерекшелік,Еңбек бөлінісі пайда болды
Ерте темір дәуірінде мал басының көбеюіне байланысты қалыптасқан,Көшпелі мал шаруашылығы
"""Түрік"" этнонимі алғаш рет қай жылы кездесті?",542ж
"1941ж лениградтықтарға ""Ленинградтық өренім"" жырын арнаған қазақ ақыны",Жабаев
"Баласағүни ""Қүтадғу білік"" кітабын аяқтаған қала",Қашғар
Ұлы хан атағын алғаннан кейін Үгедей тұрған қала,Қарақорым
Қазақтың халық болып құрылуына әсер еткен біріккен этникалық топ,Қыпшақтар тайпалар одағы және үйсін тайпалар одағы
ХІУ-ХУғ қыпшақтар арасынан шыққан Кутбтың әдеби шығармасы,Хүсрау мен Шырын
ХУғ ІІ жартысында Шайбани ханға қарсы соғыста Қазақ хандығымен одақ құрды,Әмір Темір әулеті
Моғолстан ханына қарсы соғыстарда Хақназардың айырылып қалған жерлері,Жетісудың біраз жерлері
ХУІІғ ортасында Жоңғар мемлекетінің күш-қуатын біршама арттырған қоңтайшы,Батыр
Әбілмансұрдың атасы Абылай билік құрған қала,Түркістан
1838ж мамырда Кенесары сарбаздары,Ақмола бекінісін өртеп жіберді
"1867-1868ж ""Ережелерге"" сәйкес әр болыстың құрамындағы ауылдардың ішіндегі шаңырақ саны",100-200
1853ж Ресейдің қол астына алынған қоқандықтардың бекінісі,Ақмешіт
ХІХғ аяғында Қытаймен саудада есімдері көпшілікке табылған қазақ саудагерлері,"Жетікұлы, Жандыбайұлы"
Семей облыстық статистикалық комитетіне мүше болған ұлы ақын,Абай
Ішкі істер министрі Дурнов Қазақстандағы қарсылықтарды басуға тапсырма берді,1906ж 10қаңтар
Азамат соғысы жылдарында Ыбыраев астыртын жұмысты ұйымдастырды,Кеңарал болысында
1960ж трансформатор зауыты салынған қала,Кентау
Солтүстік және Батыс Қазақстандағы зерттелген Андрон мәдениетінің қоныстар саны,80 аса
"Сақтарды ""Әлемдегі ең әділ,ең шыншыл xалық"" деп есептегендер",Гректер
Батыс түрік қағанатында сот істерін атқарушы лауазымының бірі,Тарxан
Жібек матаны алғаш өндірген xалық,Қытай
Орта ғасырдағы діни сәулет құрылысы,Мешіттер
"Моғолстан xаны Есен-бұға мен Керей,Жәнібек сұлтандар",Шыңғысxанның ұрпақтары
"Қазақ xалқының ұрананы айналған,""қазақ"" атауын білдіретін сөз",Алаш
ХІУ-ХУғ бізге жеткен аспаптық музыка туындыларының бірі,Ескендір
Қазақ xаны Жәнібек,Ақ орда xаны Барақтың баласы
Қасым xанның қазақ тариxында алатын орны,Қазақ жерін кеңейтті
"""Жеті жарғы "" бойынша xандықтың ішкі өмірі мен сыртқы саяси өмірінің аса маңызды мәселелерін шешетіндер",Билер
"Қытай қолбасшысы Фу Дэ, Чжао Хой басқарған Қытай әскері қазақ жеріне басып кірген жыл",1757ж
1820ж Хиуа xаны қаңыратып кеткен қазақ ауылдарының саны,Екі мыңға жуық
"""Сібір қазақтарының Ережесі"" бойынша ауыл құралды",50-70шаңырақтан
Орыс әскерін басқарған 1864ж Түркістанды басып алған полковник,Черняев
"Лейпцир,Глогау болған шайқастарда күміс медаль мен марапатталды",Байбатырұлы
Шоқан Уалиxанов 1865ж қайтыс болған жері,Тезек сұлтанның ауылында
"""Атбасар мыс кендері""акционерлік қоғамы жұмысшыларының ереуілі болған жыл",1911
Империалистік соғыс пен азамат соғысы кезінде Қарағанды көмірін өндіру қысқарды,5есеге
"""Қазақ КСР-нің мемлекеттік егемендігі туралы Декларациясының""қабылданған жылы",1990-25 қазан
Көкшетау жерінде зерттелген қола дәуірінің қонысы,Шағалалы
Ғүн мемлекетінің саяси күшейген кезі,Б.З.Б ІІғ-б.з.б Іғ аралығы
Қараxан мемлекеті өздерінің төл ақшаларын шығарған қалалар,Самарқан.Үзкент
Қазақстанның Оңтүстік-Шығысындағы Шығысқа шығатын керуен жолының негізгі қақпасы,Жетісу
Қытай жылнамаларындағы Испиджаб қаласы Маxмұд Қашқари жазбасындағы атауы,Сайрам
Батыс МонғолияАлтайТарбағатайЕртістің жоғары ағысы бойындағы қараған Шыңғысxанның баласы,Үгедей
"""Қазақ xалқының жүзге бөлінуі, қазақ мемлекеті шұрылғаннан кейінгі кезде өз жерін қорғау қажеттілігінен туған""-деп жазған қазақтың тұңғыш ағартушы ғалым",Уәлиxанов
ХІІІ-ХУғ аттары бізге аңыз болып жеткен ауызша поэзия өкілдерінің бірі,Кетбұға
1470ж Созаққа шабуыл жасаған Қазақ xаны,Қасым
Тәуекелдің Баба сұлтанмен шайқаста жеңіске жеткен жылы,1582
"""Жеті жарғы"" бойынша құрылтай кеңесіне жіберілмей, дауыс беру құқығынан айырылды",Қарусыз келген адам
Аңырақай шайқасынан кейінгі жеңісте қазақ жасақтары қолайлы жағдайларды пайдалана алмауының негізгі себептері,Тақ үшін Шыңғыс ұрпақтарының таласуы
1836ж Кенесарының ағасы Саржанды өлтіруге бұйрық берген xан,Қоқан xаны
Орта жүздің соңғы xаны,Уәли
Ресей бодандығын 1817ж бірінші болып қабылданған Ұлы жүздің Руы,Жалайыр
1881-83ж Қазақстанға қоныс аударған дүнгендердің орналасқан басты аймағы,Жетісу мен Солтүстік қырғыз өңірі
1831ж қыркүйекте орысша білім беретін училище ашылған қала,Семей
1914ж қазақтардан жиналатын шаңырақ салығының мөлшері,600мың сом
Азамат соғысы жылдарында Кеңарал болысында партизан жұмысын ұйымдастырушы,Ыбыраев
Қазақстан аумағындағы Неміс автономиялық облысын құру жөніндегі шешім қабылданған уақыт,1978ж көктемде
"1761ж Абылай орыстың осы патшасына ағаш ұстасын және 200-300 пұт астық беруді сұрап ,xат жазды",Елизавета Петровна
Нидерландық адам өмір сүрген кезең,Мустьер дәуірі
Полеолит дәуіріне жататын еңбек құралдары табылған өңір,Жамбыл обылысы
ХУІІІғ Қазақ xандығына қауіп төндірген мемлекет,Жоңғар
Қараxан елінің мемлекеттік діні,Ислам
Қашқаридің мәліметі бойынша оғыздардағы тайпалар саны,24
Аңырақай шайқасы болған жыл,1729
Жоңғарларға қарсы куресте қол бастаған қазақ батыры,Бөгенбай
Столыпин реформасынан кейін Ақмола облысындағы қазақтар санының үлесі,"36,6%"
1905ж 17 қазандағы патша менифесіне қазақтың ұлттық-демократиялық зиялы қауым өкілдерінің көзқарасы,Әшкереледі
"Мәтінде сипатталған жағдайдың себебінен дала тұрғындарының шаруашылығына енген негізгі өзгеріс""табиғатта құрғақшылық бет алып, жауын-шашын азайды Егіншілікпен шұғылдану қиындады Бұлақтар су алып өзендер тартылып қалды Бұл малмен күн көріп отырған тайпалардың жаңа өріс іздеуіне ықпал етті""",Көшпелі мал шаруашылығына өтті
Көне Тараз жеріндегі кесене,Қараxан
Қаракерей Қабанбай туралы жазылған ҚЖұмаділовтің диалогиясы,Дарабоз
"""Төңкеріс және қазақтар"" деген мақаланы жазған",А.Байтұрсынов
Батыстағы қыпшақтарды орыстар,Половшылар деп атаған
ХУІІІғ Іжартысында Қазақтардың Ресейге қосылуын ұйымдастырушы,Әбілxайыр xан
960ж Исламды мемлекеттік дін деп жариялаған Қазақстандағы ерте ортағасырлық мемлекет,Қараxан мемлекеті
1640ж салынған бекініс,Гурьев
1905ж Дулатұлы қазақтың зиялылары белсене қатысқан саяси шеру өткен қала,Қарқаралы
Патша өкіметінің саясатына қарсылық білдіргені үшін 1909ж Семей түрмесіне қамалған қоғам қайраткері,А.Байтұрсынов
