question,answer
бұқар ханы іі ші абдаллах пен хақназар арасы доста жөнінде ," ант беріскен шарт жасалған"
бұқар тәтіқара үмбетей жырау өз шығар арнаған хан ,абылай
бұқар жырау өз шығар арнады ,абылай ханға 
бұқтырма бекініс салын ,1761 жылы 
бұқтырма бекініс қашан салын ,1761жылы 
бұқтырма бекініс тұрғы жыл ,1761 ж 
бұқтырма бекініс негіз салын жыл ,1761 ж 
бұқтырма бекініс негіз салын жылды атаңыз ,1761 ж 
бұқтырма дәрігер айнал желто ,м и муравьев апостол 
бұқтырма көп емдеп көмек деп жазға желто ,муравьев апостол 
бұлан өзені жағасы жоңғар үлкен жеңіл ұшыра қалма қырыл күрес қай жылы болды ,1726 жылы 
бұлан бойын шайқа қанша жонғар сарбаз өлді ,10 000
бұлан өзені бойын қазақ қолы жоңғар ойсырата жеңген жер ,қарасиыр 
бұлан өзені жағасы жоңғар қарсы болған шайқа атауы ,қалмақ қырылған
бұлан өзені жағасы қазақ жоңғар ойсырата жеңген жер атауы ,қалмақ қырылған
бұлар келіс жазала керек деген соғыс минист милютиннің сөзі аталған көтер қатыс айтыл ,маңғыстау көтерілісі
бұлар келіс жазала керек деген әскер минист ,милютин 
бұмын елді басқа кезең ,түрік кезеңі
бұрмала ғылым саласы ,қазақстан тарихы 
бұрын оңтүс 30 қала орны белгі болса кейін зертте бойын ," саны 37 ал жазба деректе 6 қала аталсасоңғы кезде 33 ке жеткен "
бұрын адамд қараған көпте ірі жетіс жеткен ежелгі адам ,саналы адам
бұрын рекви жұмыс 1917 ж шілде верный құрға одақ ,қара жұмысшылар одағы
бұрын мұрындық ханны басқа қазақ хандар айырмашылығы ,билікті өмірінің соңына дейін ұстай алмады
бұрын хан билеген жылда ,1480 1511 жж 
бұрын хан ел билеген жылда ,1480 1511 жж 
бұрын хан елді қай кезең басқа ,қазақ хандығының құрылуы кезінде 
бұрын ханны басқа қазақ хандар айырмашылығы ,билікті өмірінің соңына дейін ұстай алмады 
бұрын ханны билік құрға жылда ,1480 1511 ж 
бұрын хан елді басқа кезі ,қазақ хандығы құрылуы 
бұұ ның даму бағда шеңбері 1997 ж жарық көрген адамд даму жөнінде есебі адам әлеумет даму индексі бойын қазақ әлемнің 174 елінің арасы қай орынд көрсе ,93
бұхар әмірл жері ресей импер қурамын енген жыл ,1867ж 
бұхар ханды ресей қандай әкімшіл аумағ құрам енді ,түркістан генерал губернаторлығы 
бұхар ханды түркі генерал губерн құрам қай жылы кірді ,1867 ж 
бұхар ханы ii ші абдаллах пен хақназар арасы ,достастық жөнінде ант беріскен шарт жасалған 
бүгінг дейін сақта наным ,отқа табыну 
бүкіл дешті қыпша ханын айнал ,қасым
бүкіл қазақ ұлтының бас қосқан кеңес қалай аталды ,құрылтай
бүкіл моңғол халқы алғаш рет татар деп атала баста ,қытай деректерінде 
бүкіл түркі бас діни орталы ,түркістан
бүкіл шығыс дешті қыпша саяси өмірі белгі болған едіге ұрпақ ,мұса мырза жалбыршы
бүкіл алашорда кеңес төраға ,ә бөкейханов
бүкіл атқар комит кеңес үкіме қарсы азамат соғыс қатыс алашорда үкіме мүшел жазаға тарты тиіс деп қаулы шығар ,1919 жылы 4 сәуір 
былқылдақ күйін автор ,тәттімбет қазанғапұлы
бідің заман жеткен ежелгі мереке бірі ,наурыз мейрамы 3 мың ж бұрын 
бізге жазба дерек белгі сақ патша ,томирис
бізге жеткен xі ғасыр түркі тілде халық аса маңыз тарих және әдеби ескер атаңыз ,құтадғу білік 
бізге жеткен аспап музык туынд ,ескендір қамбар батыр шора батыр күйлері 
бізге жеткен фолькл мәлім бойын қазақ әскер ордабасы тауын ұйымд ,жүзіне қарай 
бізге жеткен фолькл мәлім бойын қазақ әскер ордабасы тйуында қалай ұйымд және орнал ,жүзіне қарай 
біздің жерімізд ерте орта ғасыр ірге тіккен алғаш феодалд мемлек бірі ,түрік қағанаты 
біздің жүрегіміз темір емес бірақ біздің кек отымыз қандай темір болса да ерітіп күйді жібер алады біздің үрейді жеңетін ең күшті қаруы бар ол отанға деген сүйіспеншілік деп жазға белгі жазушы ,б момышұлы
біздің заман жеткен ежелгі мереке бірі ,наурыз мейрамы
біздің заман алғаш кезең жібек өндір игеріл баста елдер ,византия соғды
білге қаған мен күл тегін жазуы қандай жазумен жазыл ,руна 
білік еңбегі сүлеймен арслан хана сыйа тартқ үшін алан лауазым атаы ,ұлы хас хажип
бір адамға атты өлеңнің автор ,ш құдайбердіұлы 
бір аймақ халық түр түсін өзгер зертте ғылым ,тарихи антропология
бір бөлім қазақ арнал завалишиннің еңбегі ,батыс сібірді сипаттау 
бір қабат өңдел тас құрал жүзін ұсақ кертік ойықтар жасау арқылы өткір әдісі ,ретушь әдісі
бірде бір адам аяғы баспа үлкен тибет жеткен грузи көпес ,с мадатов
біржан сара опера қойға сазгер ,м төлебаев
біржан сара опера автор ,мұқан төлебаев 
біржан мен сара опера қойға сазгер ,м төлебаев
біржан сал қожағ әндері ," ғашығым айтбай "
біржан сал қожағ кіммен кезде 1865 жылғы сазгер шебер дамуы әсер етті ,абай 
біржан алғаш әндері бірі ,біржан сал 
біржан әндері ,ғашығым біржан сал айтбай 
біржан әншіл ақынд өнері дами түсуі әсер еткен ," абаймен кездесуі "
біржан ыза кекке толы сол заман өкілд түйреу бағыт өлеңі ," жанбота "
біржан сара опера қойыл респу мәден әлемі елеулі оқиға болды ,1946 ж 
біржан сара опера қойға сазгер ,м төлебаев
біржан сара опера автор ,м төлебаев 
біртұтас қазақ мемлек құрыл кезең ,xv xvіғ ғ 
біріг аң аулау жыртқыш аңдар қарсы тұру ортақ от жағу проце ,адамдарды топтастырды 
бірік заман қазақ казақ түрік газет қай жылда баста шықты ,1992
бірік заман қазақ қазақ түрік газет қай жылда баста шықты ,1992 ж 
бірік казақ жасақ алғаш жоңғар соққы берген жері ,бұланты өзенінің жағасы
бірік қазақ жасақ жоңғар ойсырата соққы берген жері ,бұланты өзенінің жағасы
бірін бесжылды жылда атаңыз ,1928 1932 ж ж 
бірін бесжылды қамти ,1928 1932 жж 
бірін д ж с жылда қазақ әскер тұтқын алғаш топта ,1914 ж тамызда әкеліне басталды 
бірін дүние жүзілік соғыс жылда қазақ әскер тұтқын алғаш топта әкелі баста ,1914 жылдың тамыз айынан бастап
бірін дүние жүзілік соғыс жылда ақмол облыс әскер тұтқын жарты астам ,ауыл шаруашылығында істеді 
бірін дүние жүзілік соғыс жылда әскер тұтқын арнал челябі мен қостанай аралы орнал троицк лагер қалай атады ," өлілердің лагері "
бірін дүние жүзілік соғыс жылда казақ бір күнді орташа жалақ мөлшер болды ,20 тиын 
бірін дүние жүзілік соғыс жылда қазақ жерін әкелі тұтқын ,австрия венгрия тұтқындары
бірін дүние жүзілік соғыс жылда қазақ бір күнді орташа жалақ мөлшер қандай болды ,20 тиын 
бірін дүние соғыс болған жылда ,1914 1918 жж 
бірін дүние соғыс жылда 34 миллион сом майда мұқтажына жібер облыс ,жетісу облысы
бірін дүние соғыс жылда қазақ әкелі әскер тұтқын арасы негіз басым болған ,славян тектестер
бірін дүние соғыс жылда қазақ әскер тұтқын алғаш топта әкелі баста ,1914 жылдың тамыз айынан бастап
бірін дүние соғыс жылда қазақ жерін әкелі тұтқын ,австрия венгрия тұтқындары
бірін дүние соғыс жылда семей ақмол облыс майда тарты жұмыс саны ,50 
бірін дүние соғыс кезін қазақ әкелі тұтқын негіз болды ,славян тектестер 
бірін дүние соғыс кезін майда тарты жұмыс саны ,орынборда 40 жетісуда 1 3 бөлігі 
бірін дүние соғыс кезін 12 14 жас аралы жеткі күніне еңбегі үшін төлен ,20 тиын 
бірін дүние соғыс кезін қазақ күнде орта есепте жалақ ,20 тиын 
бірін дүние соғыс кезін өндір орынд жұмыс мерзім ұзақтығы ,12 14 сағат 
бірін дүние соғыс қатыс мемлек саны ,38
бірін дыбысты фильм амангелд түсір ,938 жылы 
бірін қазақ бұхар соғыс болған жер ,айғыржар 
бірін қазақ бұхар соғыс өткен жыл ,1603 ж 
бірін орыс револ кейін реакция жылда патша өкметінің көшіп қону саясат мақсат болды ,тұрғындардың этникалық ұлттық құрамын өзгерту
бірін орыс револ кейін реакция жылда патша өкімет көшіп қону сасяатының мәні неде ,тұрғындардың этникалық ұлттық құрамын өзгерту мақсатында 
в степанов баста орыс елшіл қазақ ханды келген жыл ,1595
в степанов баста орыс елшіл қазақ ханды келген жыл ,1595
в голубович қазақ драма театр м әуезов абай драма қойға жыл ,1952 
в и даль өзінің бөкей мен мәулен атты шығар қай өлкеде қазақ өмірі сипат ,орынбор өлкесіндегі
в и даль өзінің қай шығар орынб елкесін қазақ өмірі сипат ," бөкей мен мәулен "
в н татищев орынб қазақ сұлтан сьезі шақыр ,1738 жылы
в радус зенькович казақ акср ның үкіме қандай қызмет атқар ,халық комиссарлар кеңесінің төрағасы 
в юлдашев іле су жолын ашты ,1883 жылы 
вакфқа сыйға тарты жер су көзін суару құрыл салық жинау кұқығымен бірге алған ,мұсылман дінбасылары
варкав ботов атымен аталған жәрме 1848 жылы ашылды ,талды қоянды деген жерде
веймар және майнадағы франк қалал түбін ерлік шайқа ,жанжігітұлыбайбатырұлы
венгр дунай бойын барып қоныс қьшшақта атады ,кундар
верный бекініс бой көтер мерзім ,1854 жыл 
верный бекініс бой көтер ,1854 жылы 
верный бекініс салын жыл ,1854 ж 
верный бекініс негіз қалаға отряд басқа ,м перемышельский
верный кеңес орыс қазақ қатын ретте жөнінде комисс орынб етіп сайла ,т бокинді
верный көпес вали ахун юлдашев винтпен жүретін өзен кемесін алдырт ,англиядан 
верный уезді жайымтал болыс ханы болып кім сайла ,б әшекеев 
верный уезін қытай іле арісылы алғаш су жолын негіз салған сауда ұйғыр ,уәли ахун юлдашев
верный уезін жаркент болыс атақт бай ұйғыр бірі ,вали ахун юлдашев
верный уезін жайыл болыс ханы болып тағайында ,бекболат әшекеев 
верный уезін жаркент болыс ауқатты ұйғыр көпес ,вали ахун юлдашев
верный қара жұмыс одағы құрыл жыл ,1917 ж 
верный кеңес үкіме орнады 1918 наурыз верный тұңғыш су диірмен салын жыл ,1857 ж 
верный татар слабодкасы маңайында тұңғыш су диірмен салын ,1857 ж 
византия импер і юстиниан түрік елшіл калай қабыл жайлы айтқан адам ,византия тарихшысы менандр протектор 
византия тарих менандр протектор түрік қаған жазба хат жолда айтады ," скиф жазуымен "
византия шебер жасағ күміс құмыра табыл қала ,тараз
вязьма түбег ұрыста ерлік көрсе 3 дәреже қасиет анна орден ие болған ,с хамитұлы
г а колпаков ұсыны жетіс шаруа қоныс туралы ереже қабыл жыл ,1868 жылы
г в колбин қазақ кп орталы комит бірін хатшы сайла жыл ,1986 ж 16 желтоқсан
г с батеньковтың мәлім кеңес сүйен отыры дайын жарғы автор ,м сперанский
галилей мен ньютоннан 600 жыл бұрын гелиоцентрлік жүйе туралы айтқан ғалым ,әбу райхан бируни 
гардизи қимақ туралы ,олар қысқыга етті сүрлеп алган 
гардизи қимақ 7 тайпа болған ең атақт деп жазға ,қимақтар мен қыпшақтар
гастел ерлігі қайта аты аңызға айнал қазақ ұшқыш ,м янко 
гәкку әнінің автор ,үкілі ыбырай 
гәкку шығар кім ,үкілі ыбырай 
генерал губерн игель кіші жүзде ханды басқа қалпына келтір 1797 жылы кімді хан етіп қойды ,айшуақ
генерал черняев оңтүс қазақ шымкент әулие жасағ жорығы қатыс ақын ,жаяу мұса
генерал майор и в панфилов басқа 316 атқыштар дивизия ерлік шайқа ,мәскеу үшін шайқаста 
генерал майор и в панфилов қай дивизия басқа ,316 атқыштар дивизиясын 
генерал майор и в панфилов басқа дивизия ,316 атқыштар дивизиясы
генетика мен микро табыс жеткен ленин сыйлы алған академи ,айтхожин
георгий орден толық кавалер болған ,н жанжігітұлы 
герадот жазба олард әрқайсысы қыста ағашт қалың ақ киізбе жауып соның астын панала деп жазыл тайпа ,аргиппейлер
герадот жазба сақта қыс кезін мекен ,ағаш үйлер
герман ксро ны қанша уақыт жаула алмақ болды ,з 4 ай ішінде 
герман ксро ға қарсы қауыр соғыс жоспар аталды ,барбаросса 
герман қауыр соғыс жоспар ,барбаросса
геродот б з б 5 ғ жазыл еңбегі ,тарих 
геродот жазба олард әрқайсысы қыста ағашт қалың ақ киізбе жауып соның астын панала деп жазға жататын ,аргиппейлер
геродот жазба сақта қыс кезін мекен ,ағаш үйлерде
геродот жазба сақта қыс кезін мекен ,ағаш үйлер
геродот жазба савромат биік таулар бауыр тұрған көрші ,аргиппейлер
геродот сақта туралы ," құдайлардың арасынан күнге табынады оган жылқыны қхрбандыққа шалады дейді мәні құдайлардың жуйрігі күн ал жануардың жүйрігі жылқы дегенді білдіреді "
геродот сақта туралы ,киімі мен өмір сүруі скифтерге ұқсас дейді 
геродот шығар орталы қазақ мекен ежелгі тұрғы ,аргиппей исседондар
геродот жазуы савромат тілі ,скиф тіліне жақын v
геродот тарих атасы деп атаған римдік шешен ,цицерон
геродот тарих атасы деп атаған римнің атақт шешен ,цицерон 
геродот жазуы савромат тілі ,скиф тіліне жақын
геродот жазуы савромат тілін жақын тіл ,скиф
геродот хабар ," савроматтар скиф тіліне өте жәқын тілде сөйлегөн әйелдер мен еркектер тең саналған және дах массагеттермен исседондармен туыстас келеді "
голощекин қазақ компа i хатшы болды ,1925 1933ж ж 
голощекин қашан қазақ компа 1 ші хатшы болды ,1925 1933 ж ж 
голощекин ұсынған идея ," кіші қазан "
голощекин ұсыны бірде бір дұрыс саясат деп жауап қайта ,сталин 
грек автор азиялы скифтер деп атаған тайпа ,сақтар
грек автор ктесий жазба ,сақ әйелдерінің ержүректігі жазылады
грек автор ктесий жазба ,сақ әйелдерінің ержүректігі айтылады
грек географ страбон айтуы сақта ,жақсы шабандоз болған 
грек дерек көшпе тағы да бір атауы ,дайлар 
грек тарих геродот өмір сүрген жылда ,б з б 484 425ж 
грек македон басқыншы қарсы күрес басқа сақ жауынгер ,спитамен 
гректер сақта тұз беріп сақта не алған ,түйе
губерн бекіт қазақ отаршыл сот жүйес төмен буыны билер мен қазыл сотыоларды бекіт ,әскери губернатор 
гулаг азабын өткен қазақ саны ,101000
гумилевтің жазуы ғұн державасының пайда болған мерзім ,б з б 209ж 
гумилевтің мәлім б з б 209 ж пайда болған ,ғұн державасы
гун рун хун ю т б атаулар беріл тайпа аты ,ғұн
гурхан бұл ,қарақытайлардың басшысы 
гурьев қаласы қазір атауы ,атырау 
гүлстан повесі автор ,x абдуллин 
гүлстан повесі автор ұйғыр жазушы ,х абдуллин
ғ мұстаф орыс тілін аудар повесі ," шығанақ "
ғ мұстаф шығар ," шығанақ қарағанды миллионер "
ғ мұстаф орыс тілін аудар повесі ,миллионер
ғ мүсірепов м ғатауллин м дәулет е алтын қ қуаныш бесеудің хаты ашық хатты жазды ,ф голощекинге 
ғ мүсірепов оянған өлке роман қай жылы ұлтты проза жетіс болып таныл ,1950
ғабит мүсірепов 1950 жылда ұлтты проза жетіс болған роман ," оянған өлке "
ғабит мүсірепов 1950 жылда ұлтты проза жетіс болған роман ," оянған өлке "
ғажайып ерлік үшін жәңгір ханға халық берген атауы ,салқам жәңгір 
ғалым мезолит дөуірін ерекше ретінде айтады ,жануарларды қолға үйрету мен дәнді дақылдарды өсіруді 
ғалым уыз сөзін шықты деген тұжырым мына тайпа қатыс ,оғыз 
ғалым айтуы бойын бұдан 100 мың жыл бұрын жер бетін пайда болған мұздық қалың ,2км
ғалым болжа бойын ежелгі мереке бірі наурыз мейрамының пайда болған уақыт ,3000 жылдай бүрын 
ғалым болжа бойын наурыз мейрамының пайда болу уақыт ,3000 жылдай бұрын
ғалым ең ежелгі адамд атауы ,епті адам 
ғалым есепте бұдан 100мың жыл бұрын жер бетін пайда болған мұздық қалың ,2км 
ғалым есепте мұздық ери баста уақыт ,13 мың жылдай бұрын
ғалым пайымдауынша савромат сарма б з б 2 1 ғасыр саны ,10 мыңға жуық
ғалым этнограф а в затаевич хх ғасыр 20 30 жылда інжу маржан ізденушісі деп неге атады ,халыктың әндері мен күйлерін жинады 
ғани мұрат өмір сүрген жылда ,1902 1924 жж 
ғарыш пен жерді күн мен айдың жұлдыз қайда шыққан туралы жазыл аңыз ," күннің баяны "
ғарыш пен жерді мен айдың қайда шыққан туралы жазыл аңыз ,темірқазық пен жетіқарақшы
ғарыш пайда болуы немесе күн мен айдың және жұлдыз қайда шыққан туралы аңыз ,күннің баяны темірқазық пен жетіқарақшы
ғимарат өрнек сәндеуде оюланған кірпіш терракот қолда баста ,xі xіі ғ 
ғұлама әл фараби туған кала ,отырар
ғұн әмірші сарай туралы сипат жазға адам ,прийск
ғұн әскер негіз құрады ,атты жауынгер
ғұн әскер негіз ,атты жауынгер құрады
ғұн әскер негіз кімдер құрды ,атты әскер 
ғұн әскер негіз құрды ,атты әскер 
ғұн билеу еділ жауынгер рим импер қауіп төнді мерзім ,5 ғасырдың 30 шы жылдары
ғұн билеу еділд қайты болған уақыт ,453 ж 
ғұн билеу чжи чжи қаңлы мемлек одақ жасас ,үйсін мемлекетіне қарсы соғысу үшін 
ғұн билеу чжй чжи қаңлы мемлек ,үйсін мемлекетіне карсы соғысу үшін одақ жасасты
ғұн билеу ,шаньюйдеп атады 
ғұн державасының б з б 209 жылы пайда болған туралы жазға ,л н гумилев
ғұн державасының негіз қалаға ,мөде
ғұн жорық маңыз ,еуропаны римдіктерден азат етті
ғұн қоғам қанша ру болды ,24
ғұн қоғам үй қызмет және бакташы есебі пайда ,құлдар 
ғұн қоғам үй қызмет және бақташы есебі кімдер пайда ,құлдар
ғұн қоғам шанью жақын туыст ,түменбасы
ғұн мемлек екіге бөлін соң оңтүс ғұндар бағын импер ,хань
ғұн мемлек ақсақ кеңес жылын шақыр ,3 рет
ғұн мемлек ақсақ кеңес жылын ,3 рет шақырылды
ғұн мемлек құрбан шалу үшін ақсақ кеңес жылын ,3 рет жиналды 
ғұн мемлек ру саны ,24
ғұн мемлек түмен әскер құрам ,10 мың жауынгер
ғұн мемлек шанью кейін басты лауазым ,түменбасы v
ғұн мемлек екіге бөлін жылы ,б з д 55 жылы
ғұн мемлек оңтүс және солтүс болып бөлін мерзім ,б з б 55 жыл
ғұн мемлек саяси күшей кезі ,б з б 2 ғ б з б 1 ғ аралығы 
ғұн мемлек шанью кейнгі басты түлғалар ,түменбасы
ғұн патша аттил атты 5 актілі трагедия жазға неміс ,цахариас вернер
ғұн тайпа қай тілде сөйле ежелгі түрік ғұн тайпа қатыс тарих тұлға ,мөде 
ғұн тайпа билеу қалай аталды ,шаньюй 
ғұн тайпа талас өзені шығыс жағын көшіп қонуға мүмкін берген тайпа ,үйсіндер
ғұн тайпа талас өзені шығыс жағын көшіп қонуға мүмкін берген тайпа ,қаңлылар
ғұн тайпа тілі ,ежелгі түрік 
ғұн тайпа шығыс батыс қарай жылжу созыл ,б з іі ғ б з іv ғ созылды 
ғұн шанью жақын туыст иелен лауазым ,түменбасы
ғұндар бұйым бетін түрлі түсті затта жапсыр стилі ," полихромдық стиль "
ғұндар еуроп елдер кімні басшы шапкыншылық жасады ,атилла
ғұндар еуроп елдер шапқы жасады ,аттиланың басшылығымен 
ғұндар жақсы шыныққан олар отты да қажет етпейді деп жазға ,марцеллин
ғұндар жөнінде маңыз дерек қалды римдік тарих ,аммиан марцеллин
ғұндар жөнінде маңыз дерек қалды ,марцеллин
ғұндар каспи теңіз қарай ығысты тайпа ,аландар
ғұндар кезен қамти аралы ,б з б іv ғ б з ііі ғ 
ғұндар келген дейін қазақ тұрындарының нәсіл белгі ,еуропоид
ғұндар қандай үйлер турды ,киіз үйде 
ғұндар мемлек әскер жүйе бойын құрыл қандай қанат бөлін ,сол орталық оң
ғұндар мемлек әскер жүйе бойын ,3 қанатқа бөлінген
ғұндар мемлек әскер жүйес құрыл ,3 қанатқа бөлінген
ғұндар мен қытай елі арасы соғыс қимылда созыл уақыт ,300 жылдан астам
ғұндар негіз қандай шаруа айнал ,мал шаруашылышылығы 
ғұндар өсірген малдар түрі ,барлық малдар түрі
ғұндар өсірген үй малдар ,малдың барлық түрін
ғұндар төзімді келеді сауда сатты да ат үстін жасай деп сипат рим тарих ,а марцеллин
ғұндар төзімді келеді сатты да ат үстін жасай деп сипат рим тарих ,а марцеллин
ғұндар туралы олар соғыс кейін тыныш әрі қамсыз тіршілі етеді әркім қолын барымен қанағат етеді деп жазға зертте ,прийск 
ғұндар туралы археолог қазба мен негіз дерек көзде болып табыл ,қытай жазба деректері
ғұндар туралы дерек беретін ел ,қытай деректері
ғұндар туралы дерек беретін ,кытай деректер 
ғұндар туралы олард елшісі қолын шанью сенім таңба көрші елдер барады деген дерек айтыл ,қытай деректерінде
ғұндар 24 руды басқа ,түменбасы 
ғұндар ақсақ кеңес жылын неше рет шақыр ,3 рет
ғұндар бұйым бетін алтын тұйіршіктерді дәнекер әдісі ,зерлеу
ғұндар бұйым безендіру үшін қолда негіз бейне ,жабайы аңдар 
ғұндар жоғар дамыған ,әскери іс 
ғұндар опасыздық жасағ беріл жаза түрі ,өлім жазасы
ғұндар өскердің негіз қурамын кімдер қурады ,атты әскер 
ғұндар ұсақ қылмыс үшін қолда жаза ,айыптының бетін тілген
ғұндар билік беру жүйес ,мұрагерлік 
ғұндар билік беріл жүйес ,мұрагерлікпен берілді
ғұндар бейбіт халық ретінде сипат византия елшісі ,прииск
ғұндар астық сақта ұралары табыл жерле ,үй жайлардың іші
ғұндар әйгіл патша аттил туралы еңбек жазыл келеді ,6 ғасырдан бастап 
ғұндар екінш рет қоныс аудар ,б з 93 жылы 
ғұндар жүннен киім тоқып киген көрсе негіз дәлел ,ұршық бастары 
ғұндар жылжу баста болды ,ұлы қоныс аударуға бастама
ғұндар келуі дейін қазақ мекен тайпа басым болған нәсіл белгі ,еуропеоидтық
ғұндар қазақ екінш толқын келе баста кезең ,б з і ғасыры
ғұндар құдіретті билушісі аттил өмір сүрген ғасыр ,v ғасыр
ғұндар негіз баспа ,киіз үйлер 
ғұндар негіз өмір салты ,көшпелі өмір 
ғұндар ру көсем ,ақсақалдар 
ғұндар шығыс батыс қарай жылжу баста мерзім ,б з б іі ғ б з іv ғ 
ғұндар шығыс батыс қарай жылжу баста мерзім ,б з б іі ғ 
ғұндар шығыс батыс қарай жылжу баста мерзім ,б з б 2 ғ 
ғұндар көші аяқта ,б з б iv
ғылым дамуы револ дүр сілкін символы айнал оқиға ,ю а гагариннің 1961 ж 12 сәуірде ғарышқа қанат қағуы 
ғылым жүйе бойын тас дәуір бөлін кезең ,палеолит мезолит неолит
ғылым зертте қараған ертеде діни наным дәстүр кең тараға аймақ ,жетісу
ғылым зертте қараған қазақ ертеде діни наным дәстүр кең тараға аймақ ,жетісу
ғылым техник прогрес символы айнал алғаш космо игеру елімізд экономи кандай мінде жүкте ,ғылыми индустриялык өндіріске көшуге 
ғылым техник прогрес жаппай жұмылдыру проце нені көрсе ,ғылыми техникалык прогресті қолдау біздің қоғамда жаңа технологияның дамуын топтастыру 
д тәжіұлы мен и тілен баста көтер ,маңғыстау
д а қонаев қазақ қай жылда басқа ,1960 қаңтар 1986 желтоқсан 
д тәжіұлы мен и тілен баста көтер ,маңғыстау
дайаргиппейисседон сақта қоныс өңірлер ,орал тауының оңтүстігі 
дайлар апари тайпа шыққан арсақ аршак парфияны жаула алған жылда ,б з б 248 247 жж
дайлар парфияны үлкен бөлігі гиркан мен онымен шекте аймақ басып алып ,аршакиттер әулетінің негізін салған
дала генерал губерн саяси тұтқын жібер жөнінде үкіме қаулы шықты ,1881 ж 29 тамызда 
дала генерал губерн құрам кірме облыс ,сырдария
дала генерал губерн орталы болған қала ,омбы
дала өлкес азамат соғыс кезін төтенше коммис ,жангелдин
дала өлкес төтенше комисс ,ә жангелдин 
далал генерал губерн саяси жер аудар тарат туралы арнай шешім ресей үкіме кабылда ,1881 ж 29тамыз
далал заңда байла айтыл заң ," есім ханның ескі жолы "
дамыған орта ғасыр қазақ территория басым бөлігі алып жатқан мемлек ,қыпшақ
дамыған орта ғасыр қазір моңғол жерін мемлек құрға қазақ тайпа ,керейіттер мен наймандар
дамыған орта ғасыр орхон керулен селенгі аргун өзенде бойын тұрған тайпа ,керейіттер
дамыған орта ғасыр көлем 30 гектар асатын оңтүс қазақ жерін көне қала ,сауран сайрам испиджап отырар
дамыған орта ғасыр жататын монша табыл орта ғасыр қалал ,отырар тараз
даңқ орден иегер атанды ,142 қазақстандық 
дарий баста парсы әскер жорығы мерзім ,б з б 519 ж 
дарий баста парсы әскер адастырған сақ ,ширақ 
дарий шапқы кезін сақта көсем болған ,скунха
дарий сақта жерін жорығы қай ж баста ,б з б 519 ж 
датұлы көтер тарих маңыз ,патша үкіметі жайықтың оң жағына өтуге мал жаюға рұқсат етті
датұлы көтер нәтиже патша үкіме жайық оң жағын өтуге мал жаюға рұқсат етті ,1801 жылы 11 наурыз
даубай кеніш ереуіл болды ,1917 жылы мамырда
дауылдан кеиін роман автор ,ғ мұстафин
дән үккішт жасал ,неолитте 
дәстүр бойын қарахан мемлек негіз бөлігі санал ,шығыс хандық
дәулет орыс музык әскер марштар әсері мына күйлер шығар ,ващенко қос ішек топан қоңыр
дәулет шығай қазір уақыт дейін сақта жеткен күйлер саны ,40 қа жуық
дәулет бізге жеткен күйлер саны ,40 қа жуық
дәулет көзқарас қалып ықпал еткен оқиға ,1836 38 ж бөкей хандығындағы көтеріліс 
дене бітім қазір адамд ұқсас адамд қалып дәуір атаңыз ,кейінгі полеолит 
дербес ел ретінде жоңғар тарих сахна жойыл ,1758 жылы
дерек даңқты ізгі ниетті түрік чаруктардың қаласы ,тараз 
дерек бойын ежелгі үйсін халық саны ,630 мың адам
дерек vғ тирек тайпа құрам кезде тайпа ,қарлұқтар 
дерек бату хан әскер қалай аталған ,қыпшақтық 
дерек көрсе үйсін үлкен гуньмо тұрған қала ,чигу
дерек көрсе үйсін үлкен гуньмо түрған қала ,чигу
дерек шу аймағы орнал қай қала туралы бұл қалад әр елден келген сауда арала тұрады ал қалан жарты көпес құрай деп жазға ,суяб 
дерек шу аймағы орнал қай қала туралы онда әр елден келген сауда кезде ал қалан жарты сауда айнал деп жазға ,суяб
дерек үйсін гуньмо қытай ханшайымы үйлен уақыт ,б з б 107 ж 
дешті қыпша қай тарих географ территория қамты ,алтайдан еділге дейін 
дешті қыпша аумағ қамты жерле ,алтайдан еділге дейін
дешті қыпша жерін әбілқайыр әулет шыққан шайбан билігі тоқта себеб ,қазақ хаңдығының құрылуы 
дешті қыпша қай тарих географ территория қамты ," ертіс өзенінен днестр өзеніне дейін алтайдан еділге дейін деген де вариант болуы мүмкін "
дешті қыпша үшін сауда аймағы ған кала ,сығанақ 
дешті уалаяты берке ханға бағын кезде дінсіздердің көп бөлігі ол ислам дінін кіргіз деп жазға өтеміс қажының кітаб аты ,шыңғыснама 
дешті қыпша xv ғасыр жырау кім ,асанқайғы 
дешті қыпша аумағ қамты жерле ,алтайдан еділге дейін 
дешті қыпша қай тарих географ территория қамты ,ертіс өзенінен днестр өзеніне дейін 
дешті қыпша үшін күрес казақ хандар қарсы болған кімдер ,әбілқайыр ханның мұрагерлері 
дж неру атында халық сыйлы ие болған жазушы ,әнуар әлімжанов
диадардың айтуы бойын қай тайпа скифия жерін басып кіріп жер суын басып алады да халқы қырғы ұшыра ,сарматтар 
динаның күйі ,көңілашар 
диуан лұғат ат түрік кітаб автор ,м қашғари 
днепр үшін ұрыста 18 жасар ең жас қазақ кеңес одағы батыр атанды ,ж елеусізов
днепр үшін шайқа кеңес одағы батыр атағы алған ең жасқа ,ж елеусізов 
домбыра өнері лирикалық бағыт негіз салған күйші ,дәулеткерей шығайұлы
домбыра өнері лирикалық бағыт негіз салушы ,дәулеткерей
